dataset_id,fold,session,nll_summed,model
7,2,1,93.56685214997582,Q (common fit)
7,2,3,129.69453790948836,Q (common fit)
7,2,7,124.52255937902528,Q (common fit)
7,2,8,94.38040548219057,Q (common fit)
7,2,13,93.99678109110876,Q (common fit)
7,2,14,92.26929790474212,Q (common fit)
7,2,17,142.81179895541368,Q (common fit)
7,2,20,91.18745481372596,Q (common fit)
7,2,21,129.76997357379423,Q (common fit)
7,2,34,131.46483046213606,Q (common fit)
7,2,37,140.48551765310435,Q (common fit)
7,2,43,88.92746811984419,Q (common fit)
7,2,48,81.16077607798171,Q (common fit)
7,2,49,125.68292702563967,Q (common fit)
7,2,50,110.32669111739757,Q (common fit)
7,2,52,132.98903754376326,Q (common fit)
7,2,53,95.85889056733791,Q (common fit)
7,2,54,131.08411838280807,Q (common fit)
7,2,57,127.51112345649004,Q (common fit)
7,2,58,120.23109520231762,Q (common fit)
7,2,59,122.15094450167616,Q (common fit)
7,2,63,139.72221371613608,Q (common fit)
7,2,71,109.04164234877561,Q (common fit)
7,2,72,96.68694740032295,Q (common fit)
7,2,74,115.84401109670512,Q (common fit)
7,2,80,72.29745807861475,Q (common fit)
7,2,83,133.84166714900053,Q (common fit)
7,2,87,95.3648494493626,Q (common fit)
7,2,88,92.70870649667877,Q (common fit)
7,2,89,80.95148518738084,Q (common fit)
7,2,91,131.1863955597636,Q (common fit)
7,2,92,78.42577910461311,Q (common fit)
7,2,99,138.15813506397984,Q (common fit)
7,2,102,100.53721520529936,Q (common fit)
7,2,103,133.30583210840246,Q (common fit)
7,2,105,122.88377107186587,Q (common fit)
7,2,106,85.74943798718904,Q (common fit)
7,2,107,115.91608963822611,Q (common fit)
7,2,110,105.5136976777175,Q (common fit)
7,2,116,112.99185338117643,Q (common fit)
7,2,121,85.3169691542852,Q (common fit)
7,2,129,75.13071319507958,Q (common fit)
7,2,130,106.09326995648125,Q (common fit)
7,2,131,117.939148004476,Q (common fit)
7,2,133,73.65129410567245,Q (common fit)
7,2,134,99.77381046221639,Q (common fit)
7,2,138,116.31604450257737,Q (common fit)
7,2,149,89.0147752868779,Q (common fit)
7,2,151,132.79254238475332,Q (common fit)
7,2,157,120.3375337500925,Q (common fit)
7,2,160,72.85754018313132,Q (common fit)
7,2,167,84.7825818003229,Q (common fit)
7,2,171,144.1695182748274,Q (common fit)
7,2,175,137.3899704699401,Q (common fit)
7,2,176,98.66473422886807,Q (common fit)
7,2,178,84.56381422518146,Q (common fit)
7,2,179,90.91739747239866,Q (common fit)
