"","ID","block","trial","chosen","reward","rt","session","reward1","reward2","cond"
"301",2,1,1,1,47,5130,1,45,47,"SS"
"302",2,1,2,0,43,1222,1,43,51,"SS"
"303",2,1,3,1,50,869,1,44,50,"SS"
"304",2,1,4,1,49,1092,1,45,49,"SS"
"305",2,1,5,1,46,953,1,42,46,"SS"
"306",2,1,6,1,47,792,1,43,47,"SS"
"307",2,1,7,0,45,761,1,45,48,"SS"
"308",2,1,8,1,49,846,1,44,49,"SS"
"309",2,1,9,1,47,1138,1,45,47,"SS"
"310",2,1,10,1,47,954,1,43,47,"SS"
"311",2,2,1,1,75,1270,1,68,75,"SF"
"312",2,2,2,1,75,1275,1,70,75,"SF"
"313",2,2,3,1,73,1323,1,68,73,"SF"
"314",2,2,4,1,78,1253,1,71,78,"SF"
"315",2,2,5,1,78,1276,1,70,78,"SF"
"316",2,2,6,1,75,1276,1,69,75,"SF"
"317",2,2,7,1,75,1300,1,69,75,"SF"
"318",2,2,8,1,73,1254,1,67,73,"SF"
"319",2,2,9,1,78,1298,1,70,78,"SF"
"320",2,2,10,1,75,1253,1,71,75,"SF"
"321",2,3,1,1,15,1176,1,12,15,"FF"
"322",2,3,2,0,11,691,1,11,14,"FF"
"323",2,3,3,1,19,755,1,7,19,"FF"
"324",2,3,4,1,16,1045,1,5,16,"FF"
"325",2,3,5,1,15,1092,1,6,15,"FF"
"326",2,3,6,1,14,1114,1,12,14,"FF"
"327",2,3,7,1,10,1138,1,12,10,"FF"
"328",2,3,8,0,16,853,1,16,8,"FF"
"329",2,3,9,0,22,1253,1,22,9,"FF"
"330",2,3,10,0,22,1253,1,22,8,"FF"
"331",2,4,1,1,24,904,1,29,24,"FS"
"332",2,4,2,0,32,783,1,32,25,"FS"
"333",2,4,3,0,38,1138,1,38,24,"FS"
"334",2,4,4,0,42,1115,1,42,24,"FS"
"335",2,4,5,0,38,1092,1,38,26,"FS"
"336",2,4,6,0,38,976,1,38,25,"FS"
"337",2,4,7,0,42,585,1,42,25,"FS"
"338",2,4,8,0,39,1045,1,39,24,"FS"
"339",2,4,9,1,26,1146,1,41,26,"FS"
"340",2,4,10,0,37,1037,1,37,25,"FS"
"341",2,5,1,1,42,900,1,40,42,"FF"
"342",2,5,2,0,45,1014,1,45,46,"FF"
"343",2,5,3,0,47,1276,1,47,46,"FF"
"344",2,5,4,0,39,1253,1,39,50,"FF"
"345",2,5,5,0,41,1301,1,41,50,"FF"
"346",2,5,6,0,38,1276,1,38,47,"FF"
