"","ID","trial","chosen","reward","rt","session","reward1","reward2","reward3","reward4"
"201",2,1,1,47,4602,1,46,47,51,51
"202",2,2,0,51,1297,1,51,52,45,55
"203",2,3,2,49,1123,1,60,54,49,51
"204",2,4,3,51,1024,1,55,51,43,51
"205",2,5,3,65,1391,1,47,52,45,65
"206",2,6,3,64,1323,1,51,58,40,64
"207",2,7,3,59,1298,1,58,54,39,59
"208",2,8,3,62,1276,1,47,57,29,62
"209",2,9,3,61,1483,1,48,53,39,61
"210",2,10,3,69,1184,1,54,58,28,69
"211",2,11,3,61,1299,1,51,51,21,61
"212",2,12,3,65,1299,1,53,58,35,65
"213",2,13,1,59,1291,1,52,59,30,59
"214",2,14,3,68,1238,1,43,65,29,68
"215",2,15,3,52,1299,1,30,58,36,52
"216",2,16,1,61,1267,1,42,61,34,47
"217",2,17,1,63,1275,1,41,63,33,51
"218",2,18,1,62,1276,1,37,62,44,57
"219",2,19,1,61,1207,1,34,61,32,49
"220",2,20,1,58,1276,1,36,58,45,52
"221",2,21,0,31,1251,1,31,57,35,41
"222",2,22,2,45,1191,1,34,70,45,52
"223",2,23,1,63,1593,1,36,63,35,48
"224",2,24,1,66,1322,1,43,66,38,59
"225",2,25,1,69,1207,1,36,69,47,57
"226",2,26,1,74,1253,1,32,74,45,56
"227",2,27,1,64,1253,1,43,64,42,60
"228",2,28,1,72,1275,1,41,72,35,63
"229",2,29,1,76,1160,1,35,76,48,66
"230",2,30,1,75,1276,1,39,75,49,65
"231",2,31,1,78,1299,1,35,78,50,52
"232",2,32,1,71,1276,1,34,71,56,60
"233",2,33,1,75,1208,1,36,75,56,56
"234",2,34,1,54,1160,1,39,54,52,59
"235",2,35,1,64,1253,1,47,64,48,67
"236",2,36,1,63,1276,1,43,63,45,62
"237",2,37,1,64,1229,1,41,64,49,48
"238",2,38,1,67,1276,1,41,67,54,67
"239",2,39,1,61,1276,1,45,61,45,51
"240",2,40,1,57,1276,1,43,57,49,59
"241",2,41,3,56,1146,1,44,41,53,56
"242",2,42,3,58,1230,1,51,48,57,58
"243",2,43,3,59,1229,1,45,45,50,59
"244",2,44,3,56,1207,1,48,56,57,56
"245",2,45,3,69,1252,1,44,49,57,69
"246",2,46,3,62,1161,1,47,48,58,62
"247",2,47,3,65,1230,1,59,54,57,65
"248",2,48,3,67,1229,1,53,48,57,67
"249",2,49,3,63,1184,1,51,49,50,63
"250",2,50,3,63,1207,1,48,44,51,63
"251",2,51,3,54,1091,1,53,38,50,54
"252",2,52,3,58,1161,1,60,38,46,58
