subid,has_s1,has_s2
2,1,1
3,1,1
4,1,1
6,1,1
7,1,1
8,1,0
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
16,1,1
17,1,0
19,1,0
20,1,1
21,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,0
40,1,1
41,1,0
42,0,1
46,1,0
48,1,1
49,1,1
51,1,0
52,1,1
53,1,0
55,1,1
56,1,1
59,1,1
60,1,1
61,1,1
63,1,1
64,1,0
65,1,1
69,1,1
70,1,0
71,1,1
72,1,1
73,1,1
74,1,1
75,1,0
76,1,1
77,1,1
78,1,1
79,1,1
80,1,0
82,1,0
83,1,1
84,1,1
85,1,1
88,1,0
89,1,0
90,1,1
92,1,0
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
105,1,1
108,1,1
109,1,1
110,1,1
111,1,0
112,1,0
113,1,1
114,1,1
115,1,0
117,1,1
118,1,1
119,1,1
120,1,1
122,1,1
123,1,1
124,1,1
125,1,1
128,1,1
129,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,0
137,1,1
139,1,0
141,1,0
142,1,1
143,1,0
147,1,0
149,1,1
151,1,1
154,1,1
156,1,0
161,1,0
162,1,1
163,1,1
165,1,1
166,1,1
167,1,0
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
175,1,1
176,1,1
177,0,1
180,1,1
181,1,0
182,1,1
183,1,1
185,1,1
186,1,0
187,1,1
188,1,1
189,1,0
190,1,1
191,1,0
193,1,1
195,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,0
202,1,1
203,1,1
204,1,1
205,1,1
206,1,1
207,1,1
208,1,1
209,1,1
210,1,0
213,1,1
214,1,0
215,1,0
216,1,1
218,1,0
219,1,1
220,1,1
221,1,0
222,1,1
226,1,0
229,1,1
230,1,0
232,1,1
233,1,1
234,1,0
237,1,0
239,1,1
240,1,0
243,1,1
244,1,1
245,1,1
246,1,1
251,1,1
253,1,0
254,1,1
257,1,0
260,1,0
261,1,1
262,1,1
263,1,0
264,1,0
269,1,1
270,1,1
271,1,1
272,1,0
273,1,1
274,1,1
275,1,0
276,1,1
278,1,0
279,1,1
280,1,0
281,1,0
284,1,1
285,1,0
286,1,0
288,1,1
290,1,1
291,1,1
294,1,1
297,1,1
298,1,1
299,1,1
301,1,0
302,1,1
303,1,1
304,1,0
306,1,1
308,1,1
309,1,1
311,1,0
313,1,1
316,1,1
317,1,1
320,1,1
321,1,0
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
331,1,0
332,1,1
333,1,1
335,1,0
338,1,1
339,1,0
343,1,1
346,1,1
347,1,1
349,1,1
351,1,1
352,1,1
