dataset_id,seed,split,model,feature,n_features,latent_dim,acc_mean,acc_std
0,403,train_data,IDRNN_mu,mean,1,1,0.39499999999999996,0.07141428428542851
0,403,train_data,vanilla_h,mean,1,20,0.375,0.06123724356957944
0,403,train_data,common_process_h,mean,1,10,0.475,0.06519202405202648
0,403,train_data,informed_decoder_h,mean,1,10,0.45499999999999996,0.04847679857416329
0,403,test_data,IDRNN_mu,mean,1,1,0.43499999999999994,0.05612486080160914
0,403,test_data,vanilla_h,mean,1,20,0.35,0.05244044240850758
0,403,test_data,common_process_h,mean,1,10,0.49499999999999994,0.057879184513951125
0,403,test_data,informed_decoder_h,mean,1,10,0.43499999999999994,0.04636809247747851
1,2021,train_data,IDRNN_mu,mean,1,1,0.39,0.051478150704935006
1,2021,train_data,vanilla_h,mean,1,10,0.49000000000000005,0.06442049363362565
1,2021,train_data,common_process_h,mean,1,10,0.85,0.06123724356957942
1,2021,train_data,informed_decoder_h,mean,1,10,0.36000000000000004,0.04636809247747852
1,2021,test_data,IDRNN_mu,mean,1,1,0.43499999999999994,0.09823441352194251
1,2021,test_data,vanilla_h,mean,1,10,0.34500000000000003,0.08426149773176358
1,2021,test_data,common_process_h,mean,1,10,0.8300000000000001,0.055677643628300216
1,2021,test_data,informed_decoder_h,mean,1,10,0.35,0.027386127875258306
2,405,train_data,IDRNN_mu,mean,1,1,0.35,0.0651920240520265
2,405,train_data,vanilla_h,mean,1,10,0.37500000000000006,0.03872983346207418
2,405,train_data,common_process_h,mean,1,10,0.31,0.08
2,405,train_data,informed_decoder_h,mean,1,10,0.39,0.019999999999999997
2,405,test_data,IDRNN_mu,mean,1,1,0.38499999999999995,0.020000000000000018
2,405,test_data,vanilla_h,mean,1,10,0.42000000000000004,0.029154759474226504
2,405,test_data,common_process_h,mean,1,10,0.5599999999999999,0.06442049363362562
2,405,test_data,informed_decoder_h,mean,1,10,0.39,0.019999999999999997
3,2021,train_data,IDRNN_mu,mean,1,1,0.41,0.08602325267042628
3,2021,train_data,vanilla_h,mean,1,15,0.285,0.09300537618869138
3,2021,train_data,common_process_h,mean,1,10,0.74,0.04358898943540674
3,2021,train_data,informed_decoder_h,mean,1,10,0.32,0.06403124237432849
3,2021,test_data,IDRNN_mu,mean,1,1,0.35,0.08062257748298547
3,2021,test_data,vanilla_h,mean,1,15,0.315,0.07176350047203661
3,2021,test_data,common_process_h,mean,1,10,0.655,0.03999999999999999
3,2021,test_data,informed_decoder_h,mean,1,10,0.34,0.0374165738677394
5,300,train_data,IDRNN_mu,mean,1,1,0.425,0.0570087712549569
5,300,train_data,vanilla_h,mean,1,20,0.41,0.06244997998398397
5,300,train_data,common_process_h,mean,1,10,0.675,0.03162277660168377
5,300,train_data,informed_decoder_h,mean,1,10,0.38499999999999995,0.05612486080160911
5,300,test_data,IDRNN_mu,mean,1,1,0.375,0.027386127875258306
5,300,test_data,vanilla_h,mean,1,20,0.43499999999999994,0.07176350047203664
5,300,test_data,common_process_h,mean,1,10,0.74,0.012247448713915901
5,300,test_data,informed_decoder_h,mean,1,10,0.43,0.06964194138592061
7,200,train_data,IDRNN_mu,mean,1,1,0.375,0.022360679774997918
7,200,train_data,vanilla_h,mean,1,10,0.47000000000000003,0.05787918451395114
7,200,train_data,common_process_h,mean,1,10,0.745,0.05787918451395111
7,200,train_data,informed_decoder_h,mean,1,10,0.39999999999999997,0.054772255750516606
7,200,test_data,IDRNN_mu,mean,1,1,0.40499999999999997,0.039999999999999994
7,200,test_data,vanilla_h,mean,1,10,0.525,0.02738612787525833
7,200,test_data,common_process_h,mean,1,10,0.74,0.06442049363362563
7,200,test_data,informed_decoder_h,mean,1,10,0.44000000000000006,0.025495097567963913
10,400,train_data,IDRNN_mu,mean,1,1,0.37,0.057879184513951125
10,400,train_data,vanilla_h,mean,1,10,0.36,0.04062019202317981
10,400,train_data,common_process_h,mean,1,10,0.54,0.03391164991562633
10,400,train_data,informed_decoder_h,mean,1,10,0.39,0.040620192023179805
10,400,test_data,IDRNN_mu,mean,1,1,0.33,0.05338539126015657
10,400,test_data,vanilla_h,mean,1,10,0.27999999999999997,0.024494897427831782
10,400,test_data,common_process_h,mean,1,10,0.325,0.031622776601683784
10,400,test_data,informed_decoder_h,mean,1,10,0.385,0.03741657386773943
12,400,train_data,IDRNN_mu,mean,1,1,0.34500000000000003,0.029154759474226504
12,400,train_data,vanilla_h,mean,1,10,0.38,0.04301162633521314
12,400,train_data,common_process_h,mean,1,10,0.43499999999999994,0.04636809247747852
12,400,train_data,informed_decoder_h,mean,1,10,0.33999999999999997,0.04062019202317981
12,400,test_data,IDRNN_mu,mean,1,1,0.295,0.029154759474226504
12,400,test_data,vanilla_h,mean,1,10,0.425,0.07416198487095664
12,400,test_data,common_process_h,mean,1,10,0.32999999999999996,0.04301162633521313
12,400,test_data,informed_decoder_h,mean,1,10,0.37,0.04301162633521314
15,2021,train_data,IDRNN_mu,mean,1,1,0.445,0.018708286933869705
15,2021,train_data,vanilla_h,mean,1,10,0.495,0.06782329983125267
15,2021,train_data,common_process_h,mean,1,10,0.745,0.02915475947422653
