dataset_id,seed,split,model,feature,n_features,latent_dim,acc_mean,acc_std
0,12,train_data,IDRNN_mu,mean,3,3,0.6,0.09746794344808965
0,12,train_data,vanilla_h,mean,10,10,0.885,0.03391164991562633
0,12,train_data,common_process_h,mean,10,10,0.89,0.030000000000000023
0,12,train_data,informed_decoder_h,mean,10,10,0.73,0.04301162633521313
0,12,train_data,vanilla_h_PCA3,mean,3,10,0.7649999999999999,0.03391164991562637
0,12,train_data,common_process_h_PCA3,mean,3,10,0.8550000000000001,0.010000000000000009
0,12,train_data,informed_decoder_h_PCA3,mean,3,10,0.7449999999999999,0.0714142842854285
0,12,test_data,IDRNN_mu,mean,3,3,0.6549999999999999,0.0458257569495584
0,12,test_data,vanilla_h,mean,10,10,0.9,0.038729833462074204
0,12,test_data,common_process_h,mean,10,10,0.8949999999999999,0.018708286933869722
0,12,test_data,informed_decoder_h,mean,10,10,0.82,0.04847679857416328
0,12,test_data,vanilla_h_PCA3,mean,3,10,0.8099999999999999,0.012247448713915848
0,12,test_data,common_process_h_PCA3,mean,3,10,0.865,0.020000000000000018
0,12,test_data,informed_decoder_h_PCA3,mean,3,10,0.785,0.020000000000000018
0,50,train_data,IDRNN_mu,mean,3,3,0.6799999999999999,0.06
0,50,train_data,vanilla_h,mean,10,10,0.77,0.029154759474226483
0,50,train_data,common_process_h,mean,10,10,0.82,0.05338539126015656
0,50,train_data,informed_decoder_h,mean,10,10,0.675,0.07071067811865477
0,50,train_data,vanilla_h_PCA3,mean,3,10,0.6900000000000001,0.037416573867739396
0,50,train_data,common_process_h_PCA3,mean,3,10,0.6799999999999999,0.05099019513592784
0,50,train_data,informed_decoder_h_PCA3,mean,3,10,0.65,0.06519202405202651
0,50,test_data,IDRNN_mu,mean,3,3,0.7150000000000001,0.029999999999999995
0,50,test_data,vanilla_h,mean,10,10,0.8049999999999999,0.033166247903553984
0,50,test_data,common_process_h,mean,10,10,0.845,0.018708286933869726
0,50,test_data,informed_decoder_h,mean,10,10,0.7000000000000001,0.05244044240850758
0,50,test_data,vanilla_h_PCA3,mean,3,10,0.72,0.0484767985741633
