dataset_id,model,feature,n_features,z_dim,acc_mean,acc_std,acc_folds,n_low,n_normal,n_high
0,IDRNN_mu,mean,3,3,0.64,0.048989794855663564,0.675;0.675;0.625;0.675;0.550,72,63,65
0,vanilla_h,mean,10,10,0.885,0.04358898943540674,0.825;0.900;0.900;0.950;0.850,72,63,65
0,vanilla_h_PCA3,mean,3,10,0.75,0.03162277660168382,0.725;0.725;0.725;0.775;0.800,72,63,65
1,IDRNN_mu,mean,3,3,0.6799999999999999,0.0940744386111339,0.725;0.700;0.500;0.700;0.775,69,74,57
1,vanilla_h,mean,10,10,0.915,0.04898979485566358,0.925;0.825;0.975;0.925;0.925,69,74,57
1,vanilla_h_PCA3,mean,3,10,0.7950000000000002,0.03316624790355399,0.775;0.800;0.850;0.800;0.750,69,74,57
2,IDRNN_mu,mean,3,3,0.43999999999999995,0.04898979485566357,0.425;0.450;0.525;0.375;0.425,74,67,59
2,vanilla_h,mean,10,10,0.8799999999999999,0.033166247903554026,0.875;0.900;0.825;0.875;0.925,74,67,59
2,vanilla_h_PCA3,mean,3,10,0.775,0.031622776601683784,0.750;0.825;0.750;0.750;0.800,74,67,59
3,IDRNN_mu,mean,3,3,0.585,0.05147815070493501,0.575;0.575;0.625;0.500;0.650,70,59,71
3,vanilla_h,mean,10,10,0.8700000000000001,0.04301162633521314,0.900;0.925;0.850;0.875;0.800,70,59,71
3,vanilla_h_PCA3,mean,3,10,0.765,0.07516648189186453,0.775;0.850;0.775;0.800;0.625,70,59,71
4,IDRNN_mu,mean,3,3,0.74,0.04636809247747852,0.700;0.825;0.750;0.700;0.725,65,59,76
4,vanilla_h,mean,10,10,0.8699999999999999,0.02915475947422653,0.850;0.900;0.875;0.900;0.825,65,59,76
4,vanilla_h_PCA3,mean,3,10,0.79,0.0374165738677394,0.775;0.825;0.825;0.725;0.800,65,59,76
5,IDRNN_mu,mean,3,3,0.635,0.05830951894845299,0.650;0.725;0.550;0.600;0.650,76,70,54
5,vanilla_h,mean,10,10,0.8400000000000001,0.058309518948453015,0.825;0.875;0.925;0.750;0.825,76,70,54
5,vanilla_h_PCA3,mean,3,10,0.8150000000000001,0.051478150704934986,0.775;0.800;0.875;0.750;0.875,76,70,54
6,IDRNN_mu,mean,3,3,0.475,0.08366600265340755,0.625;0.400;0.500;0.400;0.450,67,68,65
6,vanilla_h,mean,10,10,0.8399999999999999,0.03391164991562634,0.825;0.800;0.900;0.825;0.850,67,68,65
6,vanilla_h_PCA3,mean,3,10,0.8300000000000001,0.024494897427831775,0.825;0.825;0.875;0.800;0.825,67,68,65
7,IDRNN_mu,mean,3,3,0.7699999999999999,0.06595452979136461,0.875;0.800;0.700;0.775;0.700,70,62,68
7,vanilla_h,mean,10,10,0.865,0.040620192023179805,0.925;0.875;0.800;0.850;0.875,70,62,68
7,vanilla_h_PCA3,mean,3,10,0.8150000000000001,0.037416573867739396,0.850;0.800;0.750;0.850;0.825,70,62,68
8,IDRNN_mu,mean,3,3,0.8099999999999999,0.048989794855663564,0.825;0.800;0.875;0.825;0.725,74,69,57
8,vanilla_h,mean,10,10,0.875,0.03162277660168382,0.925;0.875;0.825;0.875;0.875,74,69,57
8,vanilla_h_PCA3,mean,3,10,0.805,0.02915475947422648,0.850;0.775;0.800;0.825;0.775,74,69,57
9,IDRNN_mu,mean,3,3,0.655,0.02449489742783176,0.700;0.650;0.650;0.650;0.625,58,68,74
9,vanilla_h,mean,10,10,0.74,0.048989794855663564,0.800;0.750;0.650;0.750;0.750,58,68,74
9,vanilla_h_PCA3,mean,3,10,0.6799999999999999,0.04582575694955839,0.700;0.625;0.625;0.725;0.725,58,68,74
