arch,target,ntasks,loo_r2,loo_r2_sd
idrnn,PANAS_PA,1,-0.0012645603220513,0.0229151743481467
idrnn,PANAS_PA,2,-0.0078550370410222,0.0148505629139651
idrnn,PANAS_PA,3,0.0172146251477807,0.0043282376354103
idrnn,PANAS_NA,1,0.0089153239310305,0.0122800337339173
idrnn,PANAS_NA,2,-0.0136799099525699,0.0124036439312645
idrnn,PANAS_NA,3,0.011894272791245,0.0082946540274736
idrnn,STICSA,1,-0.0207422966076396,0.0160734325522437
idrnn,STICSA,2,-0.0055037716389683,0.0074426710485387
idrnn,STICSA,3,-0.0150299284575562,0.0158726565997606
idrnn,PHQ,1,-0.0090173766473984,0.0084644081221747
idrnn,PHQ,2,-0.0113328383840796,0.0010549899084085
idrnn,PHQ,3,-0.0109274589529651,0.0062659780124712
idrnn,CEI,1,-0.0146967238731065,0.0084948983279034
idrnn,CEI,2,-0.0112033716102281,0.0036521858547469
idrnn,CEI,3,0.0087816141075229,0.0036345688902884
idrnn,BIG5_open,1,-0.0100725667180052,0.0136801329799715
idrnn,BIG5_open,2,0.0138745721675536,0.0098436422029249
idrnn,BIG5_open,3,0.0438352076561312,0.017603230128401
idrnn,AxDep,1,-0.0158184616883477,0.002585274211386
idrnn,AxDep,2,-0.0154941938722728,0.0016996225583535
idrnn,AxDep,3,-0.0144747955584804,0.0008715271483535
idrnn,posMood,1,-0.0185841304674524,0.0128813346314823
idrnn,posMood,2,-0.0247102466179199,0.0146730437357981
idrnn,posMood,3,-0.0157089421158143,0.006240396007189
idrnn,negMood,1,-0.0170297711250987,0.0127887012374366
idrnn,negMood,2,-0.0177314015175522,0.0093179699640858
idrnn,negMood,3,-0.0141192195544491,0.0010329234533578
idrnn,Exp,1,-0.0166768788841053,0.0126031006596295
idrnn,Exp,2,-0.0171379564192373,0.0190951515540587
idrnn,Exp,3,-0.0207207283963731,0.0134300028497949
idrnn,WM_composite,1,0.0131433739441679,0.0342538777628171
idrnn,WM_composite,2,0.006869995643236,0.0106662941550315
idrnn,WM_composite,3,0.0822025458193148,0.0209053489578762
idrnn,WM_OS,1,-0.0229979954442062,0.0119618731604759
idrnn,WM_OS,2,-0.0179658019187196,0.0079178669901591
idrnn,WM_OS,3,-0.0146712713069067,0.0046921502785462
idrnn,WM_SS,1,0.030668489949519,0.0338655953078751
idrnn,WM_SS,2,0.000388300281113,0.0139658339002156
idrnn,WM_SS,3,0.0682021243380126,0.0218044290617653
idrnn,WM_WMU,1,0.0007949945188665,0.0268424811099448
idrnn,WM_WMU,2,0.0160181874372134,0.0109965378910093
idrnn,WM_WMU,3,0.106860270699818,0.0354957221563815
vanilla,PANAS_PA,1,-0.0117379459103078,0.0173086532943312
vanilla,PANAS_PA,2,-0.0125384596102507,0.0089415790749435
vanilla,PANAS_PA,3,-0.0113812966488788,0.0033739364478928
vanilla,PANAS_NA,1,-0.0082376300875689,0.0068597644135896
vanilla,PANAS_NA,2,-0.0120585206064937,0.0016803844815427
vanilla,PANAS_NA,3,-0.014508086217885,0.00521777203168
vanilla,STICSA,1,-0.0192629085380227,0.0185327964647083
vanilla,STICSA,2,-0.0148523712554812,0.0140603838706312
vanilla,STICSA,3,-0.0129804383204044,0.0053533483869193
vanilla,PHQ,1,-0.0144093520941605,0.0099652080579452
vanilla,PHQ,2,-0.011769086645948,0.0017892645488213
vanilla,PHQ,3,-0.013611422665264,0.0092446003549138
vanilla,CEI,1,-0.0123983296311181,0.0012861315907997
vanilla,CEI,2,-0.0120380809797103,0.0008844631211915
vanilla,CEI,3,-0.0159824629070822,0.0156728149559669
vanilla,BIG5_open,1,-0.0124297799163313,0.0061307051024609
vanilla,BIG5_open,2,-0.009736523101517,0.0052062856565545
vanilla,BIG5_open,3,-0.0043508680225636,0.0176195952374622
vanilla,AxDep,1,-0.0155138720208384,0.0010451001162023
vanilla,AxDep,2,-0.0153903553098962,0.0009416075695597
vanilla,AxDep,3,-0.0198143445673019,0.0128446702001046
vanilla,posMood,1,-0.0155276440173763,0.0007241389353337
vanilla,posMood,2,-0.0152499390433046,0.0008686960376617
vanilla,posMood,3,-0.0144740545450775,0.0012256235463886
vanilla,negMood,1,-0.0149050223906369,0.0036859348214792
vanilla,negMood,2,-0.0223564694656546,0.0066711333363729
vanilla,negMood,3,-0.0164559813530385,0.005722085143802
vanilla,Exp,1,-0.0145681541676401,0.0005721189679504
vanilla,Exp,2,-0.013585364442984,0.0013299220933239
vanilla,Exp,3,-0.014191513005168,0.0009310022681585
vanilla,WM_composite,1,-0.0301800394373173,0.0175851461543544
vanilla,WM_composite,2,-0.01415535340983,0.0159913543596649
vanilla,WM_composite,3,0.0129738467879931,0.0280387609516593
vanilla,WM_OS,1,-0.0091576922216241,0.0179361008428013
vanilla,WM_OS,2,-0.0290791036497691,0.0163441494976172
vanilla,WM_OS,3,-0.0202282518327646,0.013850207892146
vanilla,WM_SS,1,-0.0132309895965806,0.0010333202824178
vanilla,WM_SS,2,-0.022765208261251,0.0164548375813348
vanilla,WM_SS,3,0.013251272470865,0.0220046402400852
vanilla,WM_WMU,1,-0.0299351991679581,0.0095835404255621
vanilla,WM_WMU,2,-0.0185912934370577,0.0237088959662611
vanilla,WM_WMU,3,0.00185136451405,0.0371912362961888
