scale,group,n,r_idrnn,p_idrnn,r_vanilla,p_vanilla,r_iv,z_steiger,p_steiger,r_idrnn_loo,p_idrnn_loo,r_vanilla_loo,p_vanilla_loo,r_iv_loo,z_steiger_loo,p_steiger_loo,r2_idrnn_loo,r2_vanilla_loo,chance_r
PANAS_PA,personality,236,0.15530263272468925,0.1284642691658186,0.16224720643765464,0.1021716285659343,0.5284437486296165,-0.11137050462631393,0.9113225484282748,-0.1916953515771245,0.003109371177235216,-0.22602694958173777,0.00046657057955603676,0.4995303122428501,0.5410106269414416,0.58850025797136,-0.0444048457046573,-0.05320171898805759,0.11298653657320641
PANAS_NA,personality,236,0.178590994368112,0.05663331615057367,0.13100553286132197,0.25879005991625453,0.5731535102461082,0.8012330380885353,0.422996748148567,0.0824799050042156,0.20676715795796452,-0.1651741457304519,0.01103902122405117,0.393048843847753,3.449034390898968,0.0005625950446947901,0.0043781102864748345,-0.011978177958230196,0.11298653657320641
STICSA,personality,236,0.05664985284798592,0.8620173112183083,0.1303817329456715,0.26294603654509413,0.5870554925294489,-1.2502635374512867,0.21120329344087474,-0.5310026475127165,1.4332607309283353e-18,-0.14335461649828532,0.02766899573823043,0.532566267764466,-6.672350374273492,2.517386637015529e-11,-0.01248815950122184,-0.007817108336697132,0.11298653657320641
PHQ,personality,236,0.08863815346829246,0.6075875832883384,0.08950588789064809,0.5997963052210238,-0.05345411422438533,-0.009220283487196761,0.992643382394946,-0.23885185118428526,0.00021257999292945403,-0.3003279913441498,2.6254468153513924e-06,-0.07257826749754744,0.6828520090243143,0.49470036166436504,-0.01058544407699702,-0.01129688396652817,0.11298653657320641
CEI,personality,236,0.02256868059297739,0.9895346329584459,0.03854588681579247,0.9512162410697796,-0.6029750455022709,-0.13690790335895292,0.8911035916878889,-0.7539352620680297,1.3820124952514748e-44,-0.6264246357933774,3.9794129200759936e-27,0.33443679247912667,-2.8374170347380496,0.004548016487879881,-0.014190733518042675,-0.013044878570799723,0.11298653657320641
BIG5_open,personality,236,0.17020133644874938,0.07736096961458007,0.11297306755290738,0.39371780388871924,0.22782190505081112,0.715997620690478,0.4739928180756403,0.06289162847219137,0.3360584844292841,-0.2381557643731573,0.0002220931508331697,0.20460460285429388,3.682848957154511,0.00023064182839785424,0.0008487921806294985,-0.0109240435535507,0.11298653657320641
AxDep,composite,175,0.07231211857887522,0.8256386884537035,0.05414079522721183,0.9181351217646954,0.3208758932178065,0.2062233788797935,0.8366164266201007,-0.4722791262245165,4.1586518204251187e-11,-0.6778624485338574,6.843484331355823e-25,0.5279022686583218,3.670991201524406,0.00024161165837192065,-0.016036876407353295,-0.016646434992265924,0.13130643285972254
posMood,composite,175,0.061448876785740694,0.8851757274432271,0.10308253063453829,0.6079759476408796,0.5874477949525774,-0.6070640756824116,0.5438083897988577,-0.5123503160145388,4.239133636682691e-13,-0.41178319266662455,1.5001362645083732e-08,0.6942760835448356,-1.9557968587922143,0.050489089076107656,-0.016028542255695166,-0.013991905811721717,0.13130643285972254
negMood,composite,175,0.19363154354029655,0.08757188963586342,0.13589659826661218,0.36226396783446096,0.40574399437186964,0.7112219094756781,0.4769467337602593,-0.13185225591294053,0.0819743885498606,-0.2957242470156475,7.089392877940867e-05,0.41150117116519797,2.0549430120051007,0.03988450937395566,-0.022414558435679854,-0.012883355640453287,0.13130643285972254
Exp,composite,175,0.12324944791703656,0.4531028359222492,0.08397975693783388,0.7496975335632929,0.11028135900368555,0.3913794711952492,0.6955167642138423,-0.23191786934489017,0.00201362553725126,-0.44171512998747703,9.409164347545677e-10,0.03646794961128483,2.1938690347545835,0.02824482607909458,-0.010961267633684102,-0.014113938254844527,0.13130643285972254
WM_composite,wm,175,0.2853493349887771,0.0022285182768885803,0.16156960256881017,0.20906873074766733,0.2285017532740272,1.363038473240678,0.17287038571561486,0.18961566058844265,0.011962583362958511,-0.28886262271944957,0.00010580331854830464,0.12332993361073698,4.7934324669081825,1.639516664365614e-06,0.029720834259285844,-0.03371987024537049,0.13130643285972254
WM_OS,wm,175,0.164203598133426,0.19615958956513502,0.1912578339277305,0.09406557281101136,0.12184606430697448,-0.27562638425102753,0.7828350426506996,-0.1557501974827821,0.03957157995323821,0.06846592327840878,0.36796848262113013,0.03628564755136851,-2.135520359864598,0.03271852893586641,-0.036882653361796525,0.0016514237290872202,0.13130643285972254
WM_SS,wm,175,0.3086800877178351,0.000651334355589868,0.11153164304476804,0.542523118965615,0.42929793188096976,2.50751832149259,0.012158227831785651,0.23672021248923653,0.00161036077338217,-0.37665904142543577,2.784127670496974e-07,0.2722714479007676,6.7523484481219365,1.4547098567140151e-11,0.05348731876009072,-0.013330725206811112,0.13130643285972254
WM_WMU,wm,175,0.23156224168791947,0.023852366256702128,0.16371995884129384,0.19848912053790121,0.1014139818247717,0.6873859667622075,0.49183953848041906,0.004780371249846795,0.949937287906467,-0.29450680759185777,7.617012197019041e-05,0.1348360768100898,3.0536533212815815,0.0022607316654251587,-0.018924007516581298,-0.02902805040985923,0.13130643285972254
