target,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_frac_pos,idrnn_best_pearson_mean,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_frac_pos,vanilla_best_pearson_mean
PANAS_PA,-0.001264560322051389,0.022915174348146772,0.5,0.1675740124911373,-0.011737945910307867,0.017308653294331233,0.1,0.10232893675289496
PANAS_NA,0.008915323931030528,0.012280033733917334,0.7,0.1584964339784367,-0.008237630087568937,0.006859764413589657,0.1,0.08751569295918273
STICSA,-0.020742296607639654,0.016073432552243774,0.2,0.10807612986913306,-0.019262908538022795,0.01853279646470832,0.0,0.11245480641760638
PHQ,-0.009017376647398434,0.008464408122174768,0.2,0.09442052666694901,-0.014409352094160588,0.009965208057945204,0.0,0.10962334449888403
CEI,-0.014696723873106544,0.008494898327903401,0.0,0.08378568236385477,-0.012398329631118176,0.0012861315907997015,0.0,0.04480004925874985
BIG5_open,-0.010072566718005261,0.013680132979971536,0.3,0.12736754261095512,-0.012429779916331363,0.006130705102460984,0.0,0.09869875264248748
AxDep,-0.015818461688347753,0.0025852742113860704,0.0,0.09144616162469774,-0.015513872020838426,0.0010451001162023114,0.0,0.06511987648301647
posMood,-0.018584130467452487,0.012881334631482385,0.1,0.10856861166835097,-0.015527644017376385,0.0007241389353337136,0.0,0.06618723751354212
negMood,-0.017029771125098757,0.012788701237436681,0.0,0.12629595897856238,-0.014905022390636935,0.0036859348214792827,0.0,0.14398584079145604
Exp,-0.016676878884105305,0.012603100659629536,0.1,0.09650340272416408,-0.014568154167640146,0.0005721189679504346,0.0,0.061400038497577115
WM_composite,0.01314337394416798,0.034253877762817145,0.6,0.20913483348366074,-0.030180039437317306,0.01758514615435444,0.1,0.1300260854230181
WM_OS,-0.0229979954442062,0.011961873160475906,0.0,0.1105701058577437,-0.009157692221624181,0.017936100842801304,0.4,0.16402784407571508
WM_SS,0.03066848994951903,0.03386559530787516,0.7,0.23591810826352172,-0.01323098959658069,0.0010333202824178496,0.0,0.11336957026321921
WM_WMU,0.0007949945188665652,0.026842481109944867,0.4,0.17716277032035999,-0.02993519916795815,0.009583540425562137,0.0,0.12254187915605455
