target,idrnn_pearson,idrnn_spearman,idrnn_loo_r,idrnn_loo_r2,idrnn_n,vanilla_pearson,vanilla_spearman,vanilla_loo_r,vanilla_loo_r2,vanilla_n
PANAS_PA,0.21892980832200026,0.20321031625671224,0.13997066103357667,0.01939388103184314,236,0.15162176648664905,0.13625733053063224,-0.19384448032856882,-0.020125892791808875,236
PANAS_NA,0.19382590711072836,0.17649452958196057,0.09660806789325588,0.007797326373530145,236,0.12088421407416643,0.12368560684074685,-0.18123530828036466,-0.015446383818975562,236
STICSA,0.20540842518507837,0.14713830643753087,0.12112538990743134,0.014141085131771147,236,0.06372628212742167,0.046940032302971335,-0.4425585242676581,-0.01232975203380704,236
PHQ,0.16154307478851637,0.11595498053714663,0.05410379069469631,-0.0006929717543895375,236,0.025225837113362657,0.03684147188291678,-0.7648859559232919,-0.01311429263389341,236
CEI,0.17942200448722287,0.16262437883856515,0.08811246220448106,0.006164530219819442,236,0.09370232379863651,0.0902796350134613,-0.25558341449927086,-0.009834240265022443,236
BIG5_open,0.2333160685848389,0.21502933994768128,0.14962761363908333,0.022082232654902056,236,0.2310332394443662,0.20346462031220114,0.13866768475027272,0.018755123290746245,236
AxDep,0.08418810648114916,0.07168159426780117,-0.5194576651354771,-0.014251622980594902,175,0.08669627182144601,0.08661442006269593,-0.4736317607248337,-0.014650987753726419,175
posMood,0.14978641055070016,0.14725719967308143,-0.2307112418481299,-0.014788723125223946,175,0.13509192851051383,0.13094033633685453,-0.27746097402183706,-0.011954530295072319,175
negMood,0.09256060770619128,0.17108326868879972,-0.4770049522159102,-0.01353242619179218,175,0.1566668028178075,0.16225270716807136,-0.3441006368768702,-0.02018920193794571,175
Exp,0.17495292613034885,0.14508956560680697,-0.029458999148725514,-0.017720817084400098,175,0.07395385383561957,0.10213390058217645,-0.5574221644467814,-0.014939230490328637,175
WM_composite,0.3441669373759475,0.3128257948947604,0.28244313251158637,0.07792069126100187,175,0.2130071564820085,0.24159650694133453,0.06805595950014615,-5.468092603377883e-06,175
WM_OS,0.07427271894960714,0.08219216423655801,-0.5617320359918854,-0.014533899439349351,175,0.138431461674001,0.11124166549579971,-0.23711379535355884,-0.017379884093038367,175
WM_SS,0.36275053433369414,0.36680120243074943,0.3077254711245511,0.09353183904550377,175,0.23335119511796937,0.28252957081483204,0.12412603267078774,0.014797407344939062,175
WM_WMU,0.367683661439763,0.320385611141569,0.3074154038454033,0.09286154321377516,175,0.2350985913566663,0.20131447891375068,0.09196882478187131,0.005512297530600896,175
