target,n,z0_pearson_r,z0_pearson_p,z0_spearman_rho,z0_spearman_p,z1_pearson_r,z1_pearson_p,z1_spearman_rho,z1_spearman_p,z2_pearson_r,z2_pearson_p,z2_spearman_rho,z2_spearman_p,multiple_R,loo_R2,loo_pred_r,best_dim_pearson,best_abs_pearson,best_dim_spearman,best_abs_spearman
PANAS_PA,236,0.13597893509117157,0.03683731394096746,0.13944043492415856,0.032256098454035056,-0.12104538394168995,0.0633832920115732,-0.11200243131848894,0.08600029218755903,0.12558569980500567,0.05402012162595418,0.10986620241211466,0.09219394163158712,0.2189298035781971,0.01939388103184314,0.13997066103357675,0,0.13597893509117157,0,0.13944043492415856
PANAS_NA,236,0.10084905150271847,0.12234916301735962,0.10661518846786786,0.10229722532640698,-0.061872929750330014,0.3439597706544936,-0.05023812614063055,0.4423920336105166,0.1511906191997504,0.02014288911856423,0.13428129099939715,0.0392782470681724,0.1938259071944061,0.007797326373530145,0.09660806789325592,2,0.1511906191997504,2,0.13428129099939715
STICSA,236,-0.14107640627718523,0.030265596829653515,-0.11766946127233419,0.07117676272406274,0.14046811687260996,0.030993108638262948,0.1471885306786169,0.0237296432178306,-0.06457933854776923,0.32322579881038227,-0.04198563921184386,0.5209679266750582,0.20540841674462118,0.014141085131771147,0.12112538990743124,0,0.14107640627718523,1,0.1471885306786169
PHQ,236,-0.07949206429550983,0.22374787185718317,-0.08170413193474438,0.2110840138931568,0.10739703126431577,0.09979091768097673,0.12864505466772638,0.04838179779066493,-0.09694352859311982,0.13757908426948026,-0.07006256717356939,0.28375390550739865,0.16154307250193858,-0.0006929717543897596,0.054103790694696056,1,0.10739703126431577,1,0.12864505466772638
CEI,236,-0.011617038833542394,0.8590977896678815,0.02650300093251995,0.6854361868885983,-0.06087046095333315,0.3518492344479846,-0.0342628329596393,0.6004769796141871,0.17358145919059437,0.007522769688570385,0.16892592599758405,0.009321764958534744,0.17942201305181293,0.006164530219819442,0.08811246220448098,2,0.17358145919059437,2,0.16892592599758405
BIG5_open,236,-0.0142951459168701,0.8270774611197046,0.011190657385890274,0.8642184924441372,-0.12325223379763187,0.05867801086193437,-0.11793976192130645,0.07052529832001922,0.20839356266700457,0.0012826745884692988,0.18722343409871933,0.0038958121542622738,0.233316076852104,0.022082232654902167,0.1496276136390835,2,0.20839356266700457,2,0.18722343409871933
AxDep,175,-0.04949749311280778,0.5153714575923664,-0.047353336318853564,0.5337539959931823,0.05973080440016157,0.4323345512410543,0.06469771607702643,0.3949757922240166,-0.015138638641431609,0.8423866777852861,0.016990595611285266,0.8234033540872169,0.08418810310533976,-0.014251622980594902,-0.5194576651354772,1,0.05973080440016157,1,0.06469771607702643
posMood,175,-0.01631147629029416,0.8303533358563426,-0.03570916813866833,0.6389608297540987,-0.14970477459581255,0.047999465439955605,-0.14341233785461296,0.05830868430411719,0.01035903538432518,0.8917748471287555,0.03735552609763968,0.6235699613402053,0.14978641349042715,-0.014788723125223946,-0.2307112418481299,1,0.14970477459581255,1,0.14341233785461296
negMood,175,0.048024431729209775,0.5279653677338663,0.04888591420634294,0.5205813064158021,0.05853715074808388,0.44160583100589706,0.05999413075807899,0.43030440621315347,0.04133235136307705,0.5870682908241324,0.15728137644222906,0.03764660799869184,0.09256060955382905,-0.01353242619179218,-0.4770049522159103,1,0.05853715074808388,2,0.15728137644222906
Exp,175,-0.13805995671176238,0.06845375668559336,-0.11608150470219436,0.12606986337230353,-0.11561049010799365,0.12762465411850585,-0.10509180474697716,0.16632578870636497,0.05804356981053192,0.4454722800961475,0.03663681146439767,0.6302693094100335,0.17495292735367515,-0.017720817084400098,-0.029458999148725507,0,0.13805995671176238,0,0.11608150470219436
WM_composite,175,-0.005859509397468453,0.9386560161506582,0.004520824003582624,0.9526521553876462,-0.03637273682293663,0.6327384554031785,-0.04378862516793552,0.5650249562064051,-0.32928017493190315,8.608160901313807e-06,-0.30861173309449175,3.2503875521950854e-05,0.3441668866843674,0.07792069126100187,0.2824431325115862,2,0.32928017493190315,2,0.30861173309449175
WM_OS,175,-0.0018366479916284862,0.9807549208837198,-0.025539647077728517,0.737254527289978,-0.06418386169404909,0.3987485476235774,-0.087438472592083,0.24988940487549188,-0.03248589019434635,0.669538958058462,-0.025982997079603866,0.73286486706012,0.07427282858089222,-0.014533899439349351,-0.5617320359918851,1,0.06418386169404909,1,0.087438472592083
WM_SS,175,0.014747791661208216,0.8464050420212222,0.0025862213738726634,0.9729031729471252,-0.06674500947174442,0.3801581252066981,-0.08138088547421213,0.28433597110385966,-0.3457989262910037,2.770746658718831e-06,-0.3460700071147321,2.718193021021673e-06,0.36275054168064924,0.09353183904550377,0.3077254711245506,2,0.3457989262910037,2,0.3460700071147321
WM_WMU,175,-0.025718184180911523,0.7354857793091532,0.013733723016440857,0.8568490853682952,0.03802500497529472,0.6173571880882377,0.015236303832359955,0.8413831961499685,-0.35028339423980304,2.0137949324825038e-06,-0.3079081442171261,3.3949794086121596e-05,0.3676836823810849,0.09286154321377538,0.3074154038454038,2,0.35028339423980304,2,0.3079081442171261
