target,arch,n,evalboot_mean,evalboot_sd
PANAS_PA,idrnn,236,0.01363551598140582,0.021328413070956037
PANAS_NA,idrnn,236,0.008344393917487026,0.02172522581161101
STICSA,idrnn,236,-0.019375533516359986,0.020700801238997847
PHQ,idrnn,236,-0.015156779503464793,0.0100756814705948
CEI,idrnn,236,0.0038772179331076637,0.018198570114609052
BIG5_open,idrnn,236,0.03995905591536145,0.036116576172347224
AxDep,idrnn,175,-0.02046259783539068,0.008962375597950984
posMood,idrnn,175,-0.021114350888656618,0.012307498184184168
negMood,idrnn,175,-0.020134149242262322,0.008695704751564661
Exp,idrnn,175,-0.027270206167734967,0.01900396857816954
WM_composite,idrnn,175,0.07494149151070935,0.05053729475752631
WM_OS,idrnn,175,-0.020156907269816726,0.00943994614514795
WM_SS,idrnn,175,0.0617880007168212,0.0499080422014513
WM_WMU,idrnn,175,0.0973825982706593,0.06889806718077184
PANAS_PA,vanilla,236,-0.015770725564811825,0.008398519699073313
PANAS_NA,vanilla,236,-0.018784392440569567,0.009674219563539425
STICSA,vanilla,236,-0.017399732735355077,0.009978813225882113
PHQ,vanilla,236,-0.01769540039431948,0.01123044452827975
CEI,vanilla,236,-0.020931917533987463,0.018806446507549503
BIG5_open,vanilla,236,-0.009397570448683817,0.023042503383184438
AxDep,vanilla,175,-0.025867869264384787,0.016737609966464055
posMood,vanilla,175,-0.020136338752283673,0.008440521404798307
negMood,vanilla,175,-0.02216142274701433,0.014270168885720674
Exp,vanilla,175,-0.019981531738655117,0.009061706614473334
WM_composite,vanilla,175,0.008484118146933834,0.03800684822612793
WM_OS,vanilla,175,-0.025848663691252494,0.018805856074242566
WM_SS,vanilla,175,0.007720727358219832,0.03305073733582794
WM_WMU,vanilla,175,-0.0031871239438956245,0.051047195935604944
