target,arch,n,r2_ens,r2_seedmean,gap,gap_identity,r2_seedsd
PANAS_PA,idrnn,236,0.02149000598594064,0.01721462514778075,0.004275380838159891,0.00427538083815997,0.004562363060786044
PANAS_PA,vanilla,236,-0.010966741296465798,-0.01142982041383025,0.0004630791173644514,0.00046307911736445954,0.0035476949072973476
PANAS_NA,idrnn,236,0.015562597069657902,0.011894272791245076,0.0036683242784128264,0.0036683242784128624,0.00874333304330187
PANAS_NA,vanilla,236,-0.014278464684707615,-0.014883303699073602,0.0006048390143659869,0.0006048390143661233,0.006471964523491177
STICSA,idrnn,236,-0.012053189772866846,-0.015029928457556208,0.002976738684689362,0.002976738684689315,0.01673124912431572
STICSA,vanilla,236,-0.011770796092296587,-0.012679827606982497,0.0009090315146859096,0.0009090315146858283,0.0051869101247418795
PHQ,idrnn,236,-0.009899287692439307,-0.010927458952965163,0.0010281712605258557,0.0010281712605258065,0.0066049207626480535
PHQ,vanilla,236,-0.01317577057993713,-0.013644469787212432,0.00046869920727530233,0.00046869920727521717,0.009635253667846467
CEI,idrnn,236,0.011144496439463802,0.008781614107522994,0.0023628823319408084,0.002362882331940759,0.0038311720020340633
CEI,vanilla,236,-0.01364221909002028,-0.016472456415343274,0.0028302373253229936,0.0028302373253232477,0.01654543361620357
BIG5_open,idrnn,236,0.052647733640210026,0.04383520765613125,0.008812525984078778,0.00881252598407887,0.018555433793948438
BIG5_open,vanilla,236,0.0017910527166166146,-0.004604087173595306,0.006395139890211921,0.006395139890212002,0.01858159443590568
AxDep,idrnn,175,-0.014442195517576417,-0.014474795558480413,3.260004090399615e-05,3.2600040903854684e-05,0.0009186702771561886
AxDep,vanilla,175,-0.01764939874703919,-0.018476900944778385,0.0008275021977391939,0.0008275021977391624,0.009806638227410453
posMood,idrnn,175,-0.014869120699146254,-0.01570894211581435,0.0008398214166680969,0.0008398214166679067,0.006577954961379342
posMood,vanilla,175,-0.014061419007461273,-0.014157004999632305,9.558599217103156e-05,9.558599217104579e-05,0.0013363507567144166
negMood,idrnn,175,-0.014069779675608185,-0.014119219554449124,4.943987884093934e-05,4.943987884099327e-05,0.0010887969204057925
negMood,vanilla,175,-0.014693012997987642,-0.016868463249350475,0.0021754502513628322,0.0021754502513627425,0.004483775271952944
Exp,idrnn,175,-0.019246317898132137,-0.020720728396373157,0.0014744104982410203,0.0014744104982411298,0.014156465995968074
Exp,vanilla,175,-0.014065641587750255,-0.014152508056949476,8.686646919922082e-05,8.68664691994153e-05,0.0010704030880983575
WM_composite,idrnn,175,0.09276429330025426,0.08220254581931473,0.010561747480939535,0.01056174748093928,0.022036172662505377
WM_composite,vanilla,175,0.026143819704353866,0.010775070372383932,0.015368749331969933,0.015368749331970062,0.030211030074510304
WM_OS,idrnn,175,-0.01452060200716443,-0.014671271306906796,0.0001506692997423672,0.00015066929974213105,0.0049459606679998986
WM_OS,vanilla,175,-0.019953679186876405,-0.02157736639143646,0.001623687204560055,0.0016236872045599995,0.013309986152981795
WM_SS,idrnn,175,0.07601683366873324,0.06820212433801279,0.007814709330720454,0.00781470933072062,0.02298388630491568
WM_SS,vanilla,175,0.029862412061821386,0.012265656944219872,0.017596755117601514,0.017596755117601275,0.02620587839544379
WM_WMU,idrnn,175,0.1217060378681255,0.10686027069981811,0.014845767168307392,0.014845767168307655,0.037415776402222975
WM_WMU,vanilla,175,0.02116881948550209,0.0029420577701751993,0.01822676171532689,0.018226761715326806,0.0399341891239585
