target,n_idrnn,n_vanilla,idrnn_mean,idrnn_sd,idrnn_ci_lo,idrnn_ci_hi,vanilla_mean,vanilla_sd,vanilla_ci_lo,vanilla_ci_hi
PANAS_PA,236,236,0.007876810224766106,0.012797977707142633,-0.017735999731014016,0.032632019734530886,-0.014137953673092646,0.008733666460547655,-0.03183470149716852,0.003403313718416742
PANAS_NA,236,236,0.0032227779290693696,0.011794314696665295,-0.020023096483478962,0.026609628160664908,-0.015060455038673903,0.008847636440238154,-0.03190645081819727,0.0023847897930123715
STICSA,236,236,-0.011100968438718738,0.010194360367343993,-0.02935882022121102,0.008463797074054326,-0.013784163109871461,0.008730904743077531,-0.03041015339455737,0.00280083770029016
PHQ,236,236,-0.013282698142306303,0.008679085397444025,-0.031495839057124456,0.002699524367883953,-0.014766634609198902,0.008920045564756632,-0.031126511167524653,0.002751801561890341
CEI,236,236,-0.0007660062013865884,0.011102989693052559,-0.02280530187984675,0.020607112298410488,-0.013142354672454845,0.008794496492712326,-0.02992850202255803,0.0029342965111713777
BIG5_open,236,236,0.035090597802243266,0.013581283687470407,0.008490369609503777,0.06057829315664214,-0.0081923840157422,0.009652146425680387,-0.026936922961281674,0.011949102149075316
AxDep,175,175,-0.02050340273077691,0.012066607731405004,-0.04510630498915686,-2.7757553040392424e-06,-0.021782365016715124,0.012011532272323626,-0.047229457821256954,0.0008194406469674161
posMood,175,175,-0.018544328300308444,0.012124805891314233,-0.04519848988446399,0.0036298961864956354,-0.021262932429330653,0.011785689020434437,-0.04475742860452127,0.0009971378756304693
negMood,175,175,-0.020187643337618858,0.011235787840490627,-0.043738469636253566,0.0005724960693515962,-0.016530884464092663,0.011410093555058691,-0.03700318107171495,0.008847098265831238
Exp,175,175,-0.015895647893520663,0.011769780380607523,-0.03887794412529644,0.00870651513759354,-0.01962700589363162,0.011481074553009462,-0.040765947072825486,0.0026884970164863646
WM_composite,175,175,0.06283304175061999,0.018304803316979444,0.024937976602701844,0.09867124010044569,0.006926242772622263,0.013333286685160503,-0.021235080333383134,0.03335974989599272
WM_OS,175,175,-0.01880307617881068,0.011924449018397183,-0.04378247726677425,0.004724594687476004,-0.0164860773262289,0.011528344595954748,-0.04024612514970248,0.005188205478393238
WM_SS,175,175,0.050727689754395934,0.01798185010898139,0.018586004850221667,0.08302769678044675,0.004362796808082359,0.01331157651289499,-0.01965701936149531,0.031552371346232275
WM_WMU,175,175,0.08990907691344069,0.022284585947856664,0.043230639209897885,0.1332288614993339,0.0032503579819361432,0.015048822193954203,-0.026465566214999098,0.0321567851668514
