target,n_idrnn,n_vanilla,idrnn_mean,idrnn_sd,idrnn_sd_seedmean,idrnn_ci_lo,idrnn_ci_hi,vanilla_mean,vanilla_sd,vanilla_sd_seedmean,vanilla_ci_lo,vanilla_ci_hi
PANAS_PA,236,236,0.0077818884787513995,0.014599568978032265,0.0145196763099805,-0.02054837588285724,0.034644323505640645,-0.019267377935088904,0.011991997508183725,0.012043729641090748,-0.0433511423060252,0.004440301857254489
PANAS_NA,236,236,0.0022422633313508447,0.014333759310055838,0.014364562134053838,-0.026650725908084108,0.028758415179353423,-0.0217147123191826,0.011942420253751841,0.012025916557469452,-0.044614355899844874,0.0008124068887688967
STICSA,236,236,-0.015261078911069792,0.013883224239002734,0.013922491721522741,-0.04109463194036659,0.011490484558428013,-0.01946603419625372,0.010892560076499875,0.010871794200265211,-0.04091512418934164,0.001770873003468044
PHQ,236,236,-0.021403993980899545,0.012901266563072908,0.012920298048404276,-0.04811491315671183,0.0024578610570382023,-0.020089563255629665,0.010658480979549585,0.010720873491725107,-0.03849122108828629,0.0008984053492114569
CEI,236,236,-0.002912968486980565,0.013579405711239756,0.013610507291964202,-0.03152253920661581,0.0215218184783711,-0.013756170882106306,0.011105119561921836,0.011141321752299515,-0.035882669773623206,0.0067668955762781625
BIG5_open,236,236,0.040556209087684994,0.014719804016617466,0.014737255688381906,0.01204410662246113,0.07026418775557167,-0.006671668772836328,0.012489179618236352,0.012543028276214617,-0.03150352589038415,0.01589495142970425
AxDep,175,175,-0.032258383152254225,0.014951849863336527,0.01499067213453296,-0.06226834746786907,-0.004820217569459384,-0.03133470628636375,0.014050114740399041,0.014193346071988725,-0.05899114870650104,-0.0047118666160141445
posMood,175,175,-0.03086155368045622,0.018344302148439587,0.01835433218278951,-0.07047172325373513,0.004712659756949437,-0.030211974587024265,0.01408118993818965,0.014178858761596335,-0.05960518864984056,-0.004181296832148732
negMood,175,175,-0.02974811094691015,0.014054461596442495,0.014083082124446785,-0.05846830667707587,-0.00240154574817219,-0.02747766383919995,0.016203651169703896,0.016327987515713828,-0.060249478326473274,0.0033807395740466247
Exp,175,175,-0.027836548077315157,0.019253180888491872,0.019290597888074332,-0.06630225650287541,0.008077227159613995,-0.03073987328963562,0.014904079730934883,0.01495187183254338,-0.06026935073404655,-0.0029393366632990718
WM_composite,175,175,0.07362508436173798,0.019938354340997614,0.01994481599671877,0.034568237977928955,0.1127772041677052,0.01786393124544682,0.017003684384027253,0.01707943313340913,-0.01621774620840035,0.0505164233107605
WM_OS,175,175,-0.03214702661963027,0.01604258415550891,0.01605553406868128,-0.06357830148354822,-0.0005159072899029829,-0.024366926567298264,0.015231789548238294,0.015265271006907978,-0.05497582362795768,0.0041139906946853705
WM_SS,175,175,0.05764623039028014,0.019903187501708334,0.01989296385435655,0.017586043608728952,0.09802679444279762,0.01767325227989041,0.016527464128438512,0.016507773711108814,-0.016106654440508506,0.05054204928206329
WM_WMU,175,175,0.10179525313888878,0.021896933916777623,0.02188078098217461,0.05960074710221772,0.14638779468213,0.01292076397441373,0.0189032415150462,0.01902259045640071,-0.022940749420396967,0.049291464292149985
