target,idrnn_pearson_mean,idrnn_pearson_sd,idrnn_spearman_mean,idrnn_spearman_sd,idrnn_loo_r_mean,idrnn_loo_r_sd,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_best_pearson_mean,idrnn_best_pearson_sd,idrnn_frac_pos,vanilla_pearson_mean,vanilla_pearson_sd,vanilla_spearman_mean,vanilla_spearman_sd,vanilla_loo_r_mean,vanilla_loo_r_sd,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_best_pearson_mean,vanilla_best_pearson_sd,vanilla_frac_pos
PANAS_PA,0.2168199554459179,0.014004598439710714,0.1986002273967984,0.010754987462508341,0.1341707198881133,0.01622709821824451,0.01721462514778075,0.004328237635410341,0.17728956268931956,0.022810789007274505,1.0,0.10721267284779987,0.030131891137824954,0.09469258264944873,0.023114378764579734,-0.255802078710574,0.12622425260754946,-0.011377466946747683,0.0033745505604221297,0.08803995414749186,0.029975908641670483,0.0
PANAS_NA,0.2075074071221848,0.020364622548478192,0.20235851603191884,0.01725035453662911,0.1141559508364611,0.028013189530894298,0.011894272791245076,0.008294654027473654,0.17740713454836882,0.025382898344829635,0.9,0.09246220567748621,0.03666682619654161,0.09134834815436728,0.038185567283905965,-0.33634007814649125,0.14167879834507421,-0.01450585426280011,0.0052111512316960545,0.07161928489732947,0.034919484689762845,0.0
STICSA,0.1511610665604018,0.028019393467786407,0.13245538653124617,0.018768239047532134,-0.1079715368379911,0.13813813226813995,-0.015029928457556208,0.015872656599760608,0.12120255258683144,0.0318658999740145,0.2,0.11632151614451061,0.027015408305451176,0.0992943291118138,0.03707557139657533,-0.22468833289592416,0.10170465613545909,-0.012981264957870442,0.0053522253596248025,0.09496006933362418,0.028487947580729877,0.0
PHQ,0.11956405383392688,0.02227637641861696,0.08696131765603575,0.021274829701517697,-0.17175088912696995,0.08811339700937856,-0.010927458952965163,0.00626597801247127,0.09454210643001945,0.019056015982337075,0.0,0.09460572540501865,0.031125501331997193,0.0763690857009431,0.01984531374312808,-0.32242613462131,0.15550564287719848,-0.013644226586797781,0.00933409968971981,0.08472420015334119,0.029363701471903644,0.0
CEI,0.1882262039122628,0.010892196662756072,0.1657761630571542,0.017978592059410898,0.09946337139164559,0.01632295908777214,0.008781614107522994,0.003634568890288465,0.1625278560991074,0.018406996258136493,1.0,0.11598231269844547,0.043771630586475964,0.1042635078076026,0.03801645350536132,-0.24744520989427907,0.1960177094586904,-0.016256094346182005,0.015937890010345394,0.1013254700636077,0.04066721362093829,0.1
BIG5_open,0.28096332480637864,0.028596046181381337,0.2668225497923992,0.023866203862942196,0.20861423903512138,0.040635536130282944,0.04383520765613125,0.01760323012840096,0.24064878366732462,0.03879734060288018,1.0,0.14691306791296216,0.06484250127863805,0.10264947695322577,0.054046489320733956,-0.13496468599708433,0.23423129815619204,-0.0042965653649064016,0.01751594602544117,0.1308339432691939,0.06242932265741316,0.4
AxDep,0.07363523974817926,0.01909467817324852,0.058501119570085094,0.018161075612500282,-0.5452941975955452,0.11376312710727014,-0.014474795558480413,0.0008715271483535126,0.060498851668221984,0.0197469995387991,0.0,0.07939436715151851,0.034916786301586254,0.05685915808329602,0.028093197028851477,-0.5701200894031417,0.1400612451814597,-0.019814617729262095,0.012844810384559766,0.06237362378131248,0.028003591279159103,0.0
posMood,0.1375799350848125,0.020000096153041685,0.13030430457841927,0.019930876118287148,-0.2778031447270691,0.11678753322883838,-0.01570894211581435,0.0062403960071890936,0.11942497414358877,0.024512850368680162,0.0,0.08581634698635257,0.02416997719940479,0.0905042169045573,0.031481124045434475,-0.4951383472708327,0.12799903277666433,-0.014475589599183691,0.0012251074598629303,0.06892688329181455,0.023535890744176932,0.0
negMood,0.0735598457452286,0.022947918030023842,0.1427074056229025,0.054223884118115497,-0.5625758740290577,0.1503836668408082,-0.014119219554449124,0.00103292345335781,0.05614434301346886,0.019938945280813313,0.0,0.15378354759373183,0.022685470565967952,0.14178762809379913,0.029885802199300378,-0.25825391611218157,0.1335798721172268,-0.016458742855467244,0.005721564944335261,0.12076173216893926,0.026298432281074417,0.0
Exp,0.15121453169684546,0.015436016877008834,0.11986677115987461,0.015682236973928558,-0.2044059831922947,0.10028074497718316,-0.020720728396373157,0.013430002849794943,0.12801439004954965,0.018802835110310858,0.0,0.08797204568127305,0.020777314565666602,0.10486050156739812,0.03825923843065647,-0.4710272100272201,0.11533902004757553,-0.0141901436905427,0.000928678054059304,0.06928350048387318,0.012837910154933355,0.0
WM_composite,0.3477940771249936,0.02886313484762981,0.32400067174205105,0.028624700032138024,0.28774726767164044,0.03462397331611325,0.08220254581931473,0.02090534895787617,0.316129782055031,0.042679372355555044,1.0,0.23102512342367243,0.05504949112743536,0.25290035826242724,0.06338784518758812,0.07422574584145994,0.15079303421534979,0.013251603844670844,0.02769475057950588,0.18563987217812772,0.03458000871939575,0.8
WM_OS,0.11218526563317872,0.019646665345817674,0.1281458397592228,0.02778775363657699,-0.40505974540660195,0.07657501692476718,-0.014671271306906796,0.004692150278546266,0.09398452415789767,0.019192904796537662,0.0,0.14316697593754726,0.02196047266570882,0.1306798761083255,0.04209109530106552,-0.2419417017849807,0.10846294665735841,-0.020230235668275576,0.013847596603383855,0.11456454040987758,0.017508080294100378,0.1
WM_SS,0.329102085108868,0.029582377286403158,0.34697988681626735,0.0185687956863523,0.2625830545974536,0.04015338188259782,0.06820212433801279,0.021804429061765444,0.2800457058218853,0.050508019010681415,1.0,0.22547054964793328,0.0582985782762572,0.22942022738955176,0.07087322927007725,0.04341993637489091,0.20047785409431332,0.013290164856606335,0.021991870181901168,0.16865832762461877,0.047165748292147536,0.8
WM_WMU,0.38799265742086386,0.0362303666207678,0.34312037546744,0.03493441345726613,0.32565677599938914,0.053893305202373086,0.10686027069981811,0.03549572215638148,0.352806317040637,0.04593787152270144,1.0,0.2360585760838688,0.06379800806292771,0.24926539326164754,0.06165377384219224,0.02501836353288716,0.1799854618338418,0.0018787123524877769,0.03719710232914809,0.19579817382991305,0.04530694748443582,0.5
