seed,dimA,dimB,dimC,agreeAB,agreeAC,cosB,cosC,r_wm,r_open,r_cei,r_sw,r_sw2a,r_swre,r_swho,pr_open_wm,pr_cei_wm,pr_open_sw,pr_sw_open,pr_sw2a,pr_swre,pr_swho,ws_pc,ws_var,ws_r_wm,ws_r_open,ws_r_cei,ws_r_swho
200,2,1,2,0,1,0.9308959037250241,0.9207723299710466,-0.36786239650751706,0.17466707618415,0.13825248696047535,0.24897575318176382,-0.18439223885962813,0.11041095832669141,0.6984375796923562,0.14518241019824865,0.09929542708819886,0.17170412741011273,-0.009945285175829554,-0.17433782214608512,0.07177601888886842,0.693711931395307,0,0.43122410774230957,-0.3293629655662452,0.28041380927683046,0.1921394898794323,0.6391531073937413
300,2,2,2,1,1,0.9903220511152103,0.9771090959209349,-0.24420360886918335,0.3023794123997522,0.17786025438713265,0.41386457850166014,0.16880117084110371,0.17576299276318164,0.6529726469526693,0.28086265917257897,0.1987809129578051,0.31688571626176376,-0.10503381629649346,0.19308701670479003,0.10228742712876203,0.6441411457077063,2,0.26313337683677673,-0.2745227353915282,0.10122567680862482,0.10453256043027624,0.7967505738320317
400,0,0,0,1,1,0.9799623999475918,0.9528585189205406,-0.3273540770702653,0.1601112291837705,0.15168632622828526,0.568980368081973,0.22307080225951956,0.3459756423110672,0.7952967755399994,0.1352723621368098,0.11098469856534121,0.1712713299867194,-0.07033801381709705,0.22123136605063798,0.2572331616540596,0.7918128109934466,0,0.437916100025177,-0.3203253745995326,0.280580300258774,0.1598082325182751,0.6985695857804003
500,0,0,0,1,1,0.8923557957322495,0.9724451159127696,-0.3324817226969755,0.27462747330340276,0.1428747340795596,0.30505365879977486,-0.10791182877098757,0.17095797632433504,0.6891812772301751,0.25775641392587134,0.1618980255097616,0.27764110409442344,-0.05435325651842515,-0.08143570542016308,0.08273150205245532,0.6825302401536519,2,0.26698586344718933,-0.24233649227264015,0.08165854924539824,0.06512523058164921,0.6430197965124224
600,2,1,1,0,0,0.9823541525986592,0.9774638196029175,-0.25393330031590344,0.10526894347702473,0.12442729086200818,0.27098673750081376,-0.11649584583669184,0.17753042857631918,0.607040431727474,0.1465787607018518,0.07769693250168486,0.09984586098147187,0.005722047715827803,-0.11493373911837121,0.10966314828596896,0.596439449397678,2,0.21823401749134064,-0.16348258738888102,-0.03973505800812967,0.03366537560485941,0.49128032724263404
999,2,2,2,1,1,0.9999999990469594,0.9517919251325874,-0.3292801749319032,0.20839356266700457,0.17358145919059437,0.6356522005245384,0.3124480007611916,0.3534488095054726,0.8553406174032285,0.1989870491602856,0.21323141535709064,0.24208930517000476,-0.13040859600795862,0.3471368867526663,0.27832825853702653,0.8551388926913477,2,0.2859874665737152,-0.2570032772380725,0.06362424872535132,0.07825389250664898,0.6723081341358281
2021,0,2,2,0,0,0.8820050474531362,0.8415443816983482,-0.2885791416459472,0.273955765355801,0.1813320752576822,0.11608371857992364,-0.2531338198126364,-0.0014086730798374492,0.5641101618569615,0.2484145554857264,0.2013439012975497,0.272003608578775,0.0023052067973795966,-0.22292037985539953,-0.051246946556688065,0.5515751047851954,0,0.37437912821769714,-0.2584529991945459,0.2567735229797812,0.1703352894760727,0.6836840105026782
2022,1,1,1,1,1,0.9752957789188462,0.8787551967629466,-0.35089666660608154,0.13133079113455112,0.16099276568394838,0.7829399451395187,0.4662790713449619,0.5090278467534005,0.8858426109649793,0.11430283021001543,0.16858598958472465,0.16841163326647945,-0.11159280155132331,0.47567275403269316,0.41765286699356463,0.8837614484085167,0,0.3945755064487457,-0.3287670924617374,0.22195324687043097,0.16595595003029,0.7082663748311968
2023,0,0,0,1,1,0.9698508708783892,0.9952003225949817,-0.3744013061669169,0.21274558437650984,0.19653883467487546,0.4758418599257645,0.09681617672538226,0.22113100720351572,0.8359434809976104,0.19547843672372114,0.2319085592559549,0.2236179393195592,-0.07822866290033514,0.12473390767416609,0.14341251249273354,0.8405930016992627,0,0.4210493564605713,-0.2719033782451275,0.2642022467447976,0.16805318216678564,0.6690787586020439
2024,2,2,2,1,1,0.9617155837582307,0.9932408215719751,-0.29230542573961665,0.18472012202258364,0.13845720807070583,0.46181646364023404,0.036037353577076985,0.3131981715036502,0.7682349193144604,0.21077441705627722,0.11160885722913973,0.19066410505408385,-0.05885313141890368,0.04797450369525017,0.23161490915820668,0.7646201328199016,0,0.43138882517814636,-0.24960613739831006,0.2596346762755958,0.15304775449460417,0.5564232884611702
