seed,PANAS_PA,PANAS_NA,STICSA,PHQ,CEI,BIG5_open,AxDep,posMood,negMood,Exp,WM_composite,WM_OS,WM_SS,WM_WMU
200,0.19206007628226143,0.18738416883667972,-0.04155881118427139,-0.07054083141959548,0.13825248696047535,0.17466707618415,-0.03142373879493216,0.035924797800938574,0.04505645904495866,-0.014101428715623936,-0.36786239650751706,-0.1343391706617413,-0.28534403399143715,-0.4115100143741699
300,0.12471103956045072,0.1433143051268739,0.01744913061988064,-0.0519550976771121,0.17786025438713265,0.3023794123997522,-0.031104184618229218,0.056265761375090304,-0.003559659183670544,0.1184112691520349,-0.24420360886918335,-0.010986347526476231,-0.23986966016331934,-0.2865822065864829
400,0.13416221631362882,0.16982881062467503,0.03561145454302646,-0.016903144748495247,0.15168632622828526,0.1601112291837705,0.011016138568971089,-0.018676664366840953,0.05792840228653983,-0.020838791117153605,-0.3273540770702653,-0.11488835036999,-0.28080312444381933,-0.3435797334258432
500,0.17216072547639086,0.2029201051506622,-0.0028010471490117544,-0.0752055334495699,0.1428747340795596,0.27462747330340276,-0.03659666091073914,0.0772137158611978,0.02837867567501081,0.034103165528814844,-0.3324817226969755,-0.09720939485312706,-0.2618484197333807,-0.3875248886148501
600,0.1354873011362246,0.15208479359988436,-0.05617066315357513,-0.07590915452693293,0.12442729086200818,0.10526894347702473,-0.0501055477812547,0.0010726570705356,0.009773721059373639,-0.026705061126243563,-0.25393330031590344,-0.10085511965473871,-0.19422268279280938,-0.28022824943939406
999,0.12558569980500567,0.15119061919975038,-0.06457933854776923,-0.09694352859311983,0.17358145919059437,0.20839356266700457,-0.015138638641431602,0.010359035384325178,0.04133235136307706,0.058043569810531936,-0.3292801749319032,-0.03248589019434635,-0.3457989262910038,-0.3502833942398031
2021,0.2092884312283289,0.21577890574985875,-0.08662133542688867,-0.12094211956459332,0.1813320752576822,0.273955765355801,-0.05613273499778619,0.11544662037339623,0.006073421913254653,0.091503335281878,-0.2885791416459472,-0.04205018475936177,-0.22159665081840993,-0.3759507589557907
2022,0.09654130246238589,0.14992265568789845,0.010186880241021143,-0.04189163715457583,0.16099276568394838,0.13133079113455112,-0.004804674649197487,-0.019802749091713628,0.06942886861720572,0.017269037645873786,-0.35089666660608154,-0.0679240195884011,-0.367400238476013,-0.3475773286275419
2023,0.17771018466353627,0.21200766830245169,-0.05642450262139173,-0.08743830707311277,0.19653883467487546,0.21274558437650984,-0.02316232043739787,0.034745476942405,0.06278392365316758,0.06966406796817788,-0.3744013061669169,-0.0795749144211837,-0.331740888471506,-0.4242534297217816
2024,0.1259186455627329,0.15639670878161935,-0.01809616263398286,-0.06546636377082507,0.13845720807070583,0.18472012202258364,-0.03728198290698821,-0.01598848927144809,0.04240606578059307,-0.00940705965990952,-0.29230542573961665,-0.07881094849113437,-0.2561824842944475,-0.3205731664207126
