group,arch,subset,ntasks,trait,n,canonical_r2,pearson_r,bf10_greater,perm_p,bf10_twosided
openness,idrnn,t0,1,BIG5_open,238,0.023897618731055448,0.1569404770476448,2.9805538733126857,0.009799020097990201,1.5021495972425956
openness,idrnn,t1,1,BIG5_open,238,0.021686054587473858,0.15184494823704237,2.463497778954373,0.009799020097990201,1.2439356339056025
openness,idrnn,t2,1,BIG5_open,238,0.015910337169689592,0.12656614306534575,1.0460633627687939,0.0263973602639736,0.5370315299963253
openness,idrnn,t01,2,BIG5_open,238,0.0220874481665575,0.14865187876383743,2.193101879511988,0.013598640135986401,1.1089424169666353
openness,idrnn,t02,2,BIG5_open,238,0.035006903300876635,0.18716711149357834,10.513482588554941,0.0027997200279972004,5.267022360235266
openness,idrnn,t12,2,BIG5_open,238,0.0183868853115966,0.13670488818316887,1.4495359050345376,0.020397960203979604,0.737984755605039
openness,idrnn,t012,3,BIG5_open,238,0.032347108434244154,0.18019960335134796,7.70504887728568,0.0032996700329967,3.863135858972175
openness,vanilla,t0,1,BIG5_open,238,0.016363907535174693,0.12796918737219548,1.0928971797644165,0.025697430256974303,0.5603350960027543
openness,vanilla,t1,1,BIG5_open,238,-0.010995697220437028,-0.3417159961492347,0.012009611702524126,1.0,165814.20028551854
openness,vanilla,t2,1,BIG5_open,238,0.01399019748558994,0.12116477968128977,0.8872474832489672,0.031096890310968902,0.4580760323595843
openness,vanilla,t01,2,BIG5_open,238,-0.002904484150092701,-0.04415975934654723,0.05094564944934324,0.7574242575742426,0.10198034172588584
openness,vanilla,t02,2,BIG5_open,238,0.022600022877447223,0.15271057598322155,2.543432719993734,0.0096990300969903,1.2838486726721294
openness,vanilla,t12,2,BIG5_open,238,-0.00968184711992448,-0.24699460331486628,0.01616939174152776,1.0,128.3160578769522
openness,vanilla,t012,3,BIG5_open,238,0.0062366692619839625,0.07900631121077983,0.29946582054894966,0.1110888911108889,0.1688617678355846
wm,idrnn,t0,1,WM_composite,177,0.01196081302265728,0.11030230990757545,0.5029589326837733,0.06979302069793021,0.27130148403660387
wm,idrnn,t0,1,WM_WMU,177,0.024794654284056916,0.1574852163843986,1.6219089489269911,0.0201979802019798,0.8263952253640156
wm,idrnn,t0,1,WM_SS,177,0.020163053019228494,0.14308742136569158,1.0936079905943927,0.029097090290970903,0.563381625141705
wm,idrnn,t1,1,WM_composite,177,0.008917049758270457,0.09661174219616339,0.38046109517919674,0.10128987101289871,0.2117617439235025
wm,idrnn,t1,1,WM_WMU,177,-0.004709328421654391,-0.004885613174327573,0.08944269397984637,0.526047395260474,0.09426638481150618
wm,idrnn,t1,1,WM_SS,177,0.033646415610111946,0.1836560599225655,3.635456843182449,0.007599240075992401,1.8314326753435313
wm,idrnn,t2,1,WM_composite,177,0.12747112611986366,0.35735241397876544,25604.83826317983,9.999000099990002e-05,12802.426822876874
wm,idrnn,t2,1,WM_WMU,177,0.12462546190279244,0.3562127283430407,23621.44050687058,9.999000099990002e-05,11810.72796745554
wm,idrnn,t2,1,WM_SS,177,0.15693527749769454,0.3967635299507334,513935.1763795725,9.999000099990002e-05,256967.59516768096
