tag,n_tasks,arch,orig_task,nll_mean,nll_sd,dist_mean,dist_sd,n_seeds
t0,1,idrnn,0,0.522951066493988,0.0,0.17019611406595725,0.0,1
t0,1,vanilla,0,0.450247198343277,0.0,0.2428999822166683,0.0,1
t1,1,idrnn,1,0.6797943115234375,0.0,0.7065000495964531,0.0,1
t1,1,vanilla,1,0.667290449142456,0.0,0.7190039119774345,0.0,1
t2,1,idrnn,2,0.5376632809638977,0.0,0.15548389959604758,0.0,1
t2,1,vanilla,2,0.31795811653137207,0.0,0.3751890640285732,0.0,1
t01,2,idrnn,0,0.5231969952583313,0.0,0.169950185301614,0.0,1
t01,2,idrnn,1,0.7611956596374512,0.0,0.6250987014824394,0.0,1
t01,2,vanilla,0,0.4612751305103302,0.0,0.23187205004961509,0.0,1
t01,2,vanilla,1,0.7009890675544739,0.0,0.6853052935654167,0.0,1
t02,2,idrnn,0,0.5293436646461487,0.0,0.1638035159137966,0.0,1
t02,2,idrnn,2,0.37954866886138916,0.0,0.3135985116985561,0.0,1
