group,arch,subset,ntasks,n,seed_mean,seed_sd,boot_mean,boot_sd
openness,idrnn,t0,1,238,0.0167956781137945,0.0153460060480096,0.012958576042400574,0.025203598486773268
openness,idrnn,t1,1,238,0.0116109332774262,0.0150120146978856,0.0072123295687528755,0.026179832809087644
openness,idrnn,t2,1,238,0.0100798666759775,0.0198526831164185,0.006097072107024884,0.02901527823309913
openness,idrnn,t01,2,238,0.0162962799022898,0.0090479214089387,0.012379118809726291,0.02246228994827745
openness,idrnn,t02,2,238,0.0303613021727184,0.0120885181815846,0.02627054611438467,0.029238049260007507
openness,idrnn,t12,2,238,0.0160564169948854,0.0068301529471516,0.011715614128758045,0.02388434582667722
openness,idrnn,t012,3,238,0.0279124039518853,0.013169833456866,0.023842798693266734,0.029385160018906745
openness,vanilla,t0,1,238,0.0113922907594054,0.0132258736471969,0.0072091302024302065,0.02261506128252658
openness,vanilla,t1,1,238,-0.0110472459433189,0.0010713591702654,-0.014960474747480522,0.0058620007939023284
openness,vanilla,t2,1,238,0.0132638737857642,0.0033844056559743,0.009070929612814424,0.01950792253496898
openness,vanilla,t01,2,238,-0.0055869765802116,0.0129182844764144,-0.009628341609917575,0.01587285982777763
openness,vanilla,t02,2,238,0.0156735678192045,0.0150091848411609,0.010977836168272992,0.025332370926963176
openness,vanilla,t12,2,238,-0.0105096270004881,0.0042914592006323,-0.014453989138991298,0.008643413319907022
openness,vanilla,t012,3,238,-0.0031931742904525,0.0184255827473853,-0.007713251078887827,0.02467468925445086
wm,idrnn,t0,1,177,0.0096696226979521,0.0111460494415259,0.002260677285087261,0.02496885118731717
wm,idrnn,t1,1,177,0.0010452799552694,0.0209076079741551,-0.004437678800592192,0.03178200132514884
wm,idrnn,t2,1,177,0.1132225466065615,0.024301433039206,0.10480498659562168,0.05313111523912529
wm,idrnn,t01,2,177,0.0099394579216438,0.017481923563079,0.002846312545252675,0.0282184734280241
wm,idrnn,t02,2,177,0.0893898399388333,0.022255859753172,0.0802833144891748,0.05054957712105019
wm,idrnn,t12,2,177,0.1414076965511771,0.0147105899600114,0.13371455909160684,0.04959941106985539
wm,idrnn,t012,3,177,0.1050236709557921,0.0180096977977043,0.09517540372723632,0.050299761678855345
wm,vanilla,t0,1,177,-0.0033127220126776,0.0125333307154039,-0.009909447106891026,0.02048787530776012
wm,vanilla,t1,1,177,-0.0148507553311332,0.0086905249389415,-0.02055365683443486,0.018562447818670336
wm,vanilla,t2,1,177,0.1045406442913265,0.0218379973177341,0.09684439616201054,0.05208066393258561
wm,vanilla,t01,2,177,-0.0163186546593436,0.0176040010318345,-0.022187448806191126,0.02283516339412974
wm,vanilla,t02,2,177,0.0295708588820551,0.0313703206668215,0.0226884581561427,0.04068872227136976
wm,vanilla,t12,2,177,0.0166168803437231,0.0284350869868107,0.011202488842599004,0.035476879457932216
wm,vanilla,t012,3,177,0.0420684637553785,0.0452668140651896,0.035888000994875574,0.05351041542742407
