group,arch,subset,ntasks,n,canonical_r2,boot_sd
openness,idrnn,t0,1,236,0.024317989035283483,0.0126673050438282
openness,idrnn,t1,1,236,0.019793178423216262,0.0132171149568663
openness,idrnn,t2,1,236,0.013001280496922618,0.0134899584610734
openness,idrnn,t01,2,236,0.022784609804108458,0.0137867545169835
openness,idrnn,t02,2,236,0.03746995456884539,0.0136226341342717
openness,idrnn,t12,2,236,0.017590530913413227,0.0162307870267691
openness,idrnn,t012,3,236,0.033502681748773244,0.0159054073720331
openness,vanilla,t0,1,236,0.01861488148858237,0.0152183116739022
openness,vanilla,t1,1,236,-0.014857670046059646,0.0153288907199283
openness,vanilla,t2,1,236,0.011352317559739311,0.0177075906290526
openness,vanilla,t01,2,236,0.0036567892370182875,0.0147621880189385
openness,vanilla,t02,2,236,0.029011249109666126,0.01490530935648
openness,vanilla,t12,2,236,-0.008546228808261835,0.0146288946296309
openness,vanilla,t012,3,236,0.010508977060030844,0.0154431086386391
wm,idrnn,t0,1,175,0.018016344720869697,0.014036963416404
wm,idrnn,t1,1,175,0.015100973048880806,0.0162320999277471
wm,idrnn,t2,1,175,0.13901474280042128,0.0138850209887734
wm,idrnn,t01,2,175,0.015049748497752091,0.0146203135779068
wm,idrnn,t02,2,175,0.10563198017487412,0.0147499347263711
wm,idrnn,t12,2,175,0.1570749389928078,0.0148077087413644
wm,idrnn,t012,3,175,0.11758541003059864,0.015956548965548
wm,vanilla,t0,1,175,0.004279082298895324,0.0156394572821639
wm,vanilla,t1,1,175,-0.0030913800172980657,0.0149879694858168
wm,vanilla,t2,1,175,0.12765165939272782,0.0202664703561787
wm,vanilla,t01,2,175,-0.00452081781898576,0.0127711561847557
wm,vanilla,t02,2,175,0.10776535016260562,0.014740258554759
wm,vanilla,t12,2,175,0.05369668341178757,0.0145831870318083
wm,vanilla,t012,3,175,0.06883114243868622,0.013409160203972
