group,arch,subset,ntasks,n,canonical_r2,boot_sd
openness,idrnn,t0,1,236,0.024317989035283483,0.0126673050438282
openness,idrnn,t1,1,236,0.019793178423216262,0.0132171149568669
openness,idrnn,t2,1,236,0.013001280496922507,0.0134899584610734
openness,idrnn,t01,2,236,0.022784609804108458,0.0137867545169836
openness,idrnn,t02,2,236,0.03746995456884539,0.0136226341342717
openness,idrnn,t12,2,236,0.017590530913413227,0.0162307870267691
openness,idrnn,t012,3,236,0.033502681748773244,0.0159054073720333
openness,vanilla,t0,1,236,0.018282151539704916,0.0146898634301198
openness,vanilla,t1,1,236,-0.01190084965652427,0.0134600764652629
openness,vanilla,t2,1,236,0.020302527728325526,0.0167581383906988
openness,vanilla,t01,2,236,-0.01644568004552238,0.013135819677693
openness,vanilla,t02,2,236,0.031948304618502066,0.0147856749754041
openness,vanilla,t12,2,236,-0.009385302125983763,0.0134334639650621
openness,vanilla,t012,3,236,0.0016194420881933125,0.0132864152554789
wm,idrnn,t0,1,175,0.01801634472086977,0.014036963416404
wm,idrnn,t1,1,175,0.015100973048880806,0.0162320999277471
wm,idrnn,t2,1,175,0.1390147428004215,0.0138850209887734
wm,idrnn,t01,2,175,0.015049748497752091,0.0146203135779069
wm,idrnn,t02,2,175,0.1056319801748743,0.0147499347263711
wm,idrnn,t12,2,175,0.15707493899280775,0.0148077087413644
wm,idrnn,t012,3,175,0.11758541003059868,0.0159565489655488
wm,vanilla,t0,1,175,-0.0128305383912386,0.0143913982076259
wm,vanilla,t1,1,175,-0.020831106671102145,0.0168481300005263
wm,vanilla,t2,1,175,0.12699343316732847,0.0167091221611344
wm,vanilla,t01,2,175,-0.014975588817239446,0.0133814569964977
wm,vanilla,t02,2,175,0.06979506623252656,0.0152948929409673
wm,vanilla,t12,2,175,0.01675186818091882,0.0153059127159785
wm,vanilla,t012,3,175,0.02701665800576858,0.0146499525697985
