group,arch,subset,ntasks,n,boot_mean,boot_sd,boot_ci_lo,boot_ci_hi,boot_mean_sta,boot_sd_sta
openness,idrnn,t0,1,236,0.011648779675829373,0.012667305043828219,-0.011951143994994761,0.03637239420769074,-0.002604112639085752,0.012628914683244424
openness,idrnn,t1,1,236,0.009271499748853575,0.013217114956866956,-0.01670014752626676,0.03418560960885133,-0.007022732880025889,0.013173387617598325
openness,idrnn,t2,1,236,0.0070779040106693876,0.013489958461073454,-0.019501597707623042,0.034770888300602626,-0.005268278913700512,0.013465923949423808
openness,idrnn,t01,2,236,0.012589926381767917,0.013786754516983602,-0.01504268094821174,0.04022891367176061,0.00197609602906704,0.013767971263108872
openness,idrnn,t02,2,236,0.02670253693710078,0.013622634134271758,-0.0001950838877612479,0.05351898660891533,0.017977178434731327,0.013633401979356885
openness,idrnn,t12,2,236,0.0034016356307760803,0.016230787026769115,-0.026703772246275435,0.03447749763898215,-0.0036601069265607697,0.016232589150081835
openness,idrnn,t012,3,236,0.018056266799327033,0.015905407372033387,-0.011467357178412735,0.048499857416542135,0.010772199138311452,0.01595779217110279
openness,vanilla,t0,1,236,0.003178740069611168,0.014689863430119897,-0.027056692759081073,0.03080120806395929,-0.0014748909843728486,0.014699685990053474
openness,vanilla,t1,1,236,-0.027717615227725163,0.013460076465262986,-0.05314788231962747,-0.003066017799179439,-0.028919154524253345,0.013488494546558984
openness,vanilla,t2,1,236,0.002511954166817218,0.01675813839069885,-0.031486950594038436,0.03672640221498188,-0.003249110337426476,0.01684654065042835
openness,vanilla,t01,2,236,-0.014854807959155003,0.013135819677693032,-0.041326312753179925,0.009993758276787721,-0.022931417240461653,0.013215639859840608
openness,vanilla,t02,2,236,0.02646191726686287,0.014785674975404176,-0.0007058412020038425,0.05621724708653518,0.011781365605837724,0.014751646310720205
openness,vanilla,t12,2,236,-0.021857719666863736,0.013433463965062153,-0.04594978227728981,0.0027404059659480394,-0.027817045932457717,0.01357145023688773
openness,vanilla,t012,3,236,-0.005200658188415706,0.013286415255478976,-0.03114885187843864,0.021667749139512846,-0.01843932215552172,0.013271162397879963
wm,idrnn,t0,1,175,0.0071283853565031405,0.01403696341640405,-0.020007246094322105,0.03450901715909038,-0.010805758318313626,0.01404505789121007
wm,idrnn,t1,1,175,0.0036525481261461793,0.01623209992774718,-0.028859915526362964,0.036372766173816275,-0.016748739965914965,0.01626609406465242
wm,idrnn,t2,1,175,0.13162005775376043,0.013885020988773448,0.10513955802068335,0.157462676090597,0.09867736474928247,0.014290649452004818
wm,idrnn,t01,2,175,0.002512259222550136,0.014620313577906902,-0.02599783800745437,0.03189402228228649,-0.008443172744986394,0.01465185011213402
wm,idrnn,t02,2,175,0.0948768175547779,0.014749934726371183,0.0654144466275208,0.12260199125332583,0.07733478981419568,0.014761850691957037
wm,idrnn,t12,2,175,0.14033650911273401,0.014807708741364455,0.11451783785654249,0.17190031999643426,0.12358617102973733,0.014861425325811651
wm,idrnn,t012,3,175,0.1002820563931098,0.015956548965548854,0.06989576485338819,0.13201359159949896,0.0873637973188431,0.01596238711969848
wm,vanilla,t0,1,175,-0.026864237005325798,0.014391398207625949,-0.05472846456491596,-0.0011161295043647173,-0.031156897680651295,0.014448078274559517
wm,vanilla,t1,1,175,-0.03316539923177648,0.01684813000052636,-0.06898866293675511,-0.0030164297909236327,-0.03596846073455914,0.016909072787687832
wm,vanilla,t2,1,175,0.10682456317071685,0.016709122161134446,0.07349212396534233,0.13612483241078283,0.09556164182639558,0.01681554883205223
wm,vanilla,t01,2,175,-0.02415621845555669,0.013381456996497728,-0.051172457654013265,0.0005285325805494983,-0.031534195279799455,0.013426304051417273
wm,vanilla,t02,2,175,0.056196719944056166,0.015294892940967328,0.0258610035086714,0.08521862664506719,0.021946636941486908,0.015357862932677829
wm,vanilla,t12,2,175,0.00581214154325634,0.015305912715978566,-0.025821467000031,0.03568337835965749,-0.016572735704358705,0.015572833300834678
wm,vanilla,t012,3,175,0.013105359953848794,0.014649952569798575,-0.016211778691245522,0.04216053745614176,-0.007082279770569525,0.014801328501704422
