target,idrnn_pearson_mean,idrnn_pearson_sd,idrnn_spearman_mean,idrnn_spearman_sd,idrnn_loo_r_mean,idrnn_loo_r_sd,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_best_pearson_mean,idrnn_best_pearson_sd,idrnn_frac_pos,vanilla_pearson_mean,vanilla_pearson_sd,vanilla_spearman_mean,vanilla_spearman_sd,vanilla_loo_r_mean,vanilla_loo_r_sd,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_best_pearson_mean,vanilla_best_pearson_sd,vanilla_frac_pos
PANAS_PA,0.18755453342759704,0.026789505234956122,0.1755973662801829,0.026736075455565965,0.06310047849701376,0.1093248228816222,0.005681878163406873,0.015085379555834572,0.16144941097713608,0.03413014448660197,0.7,0.25429936025956257,0.006337493754921001,0.22332134680684113,0.016809461413559216,0.1351218708905214,0.023476425445158315,0.0140758258250685,0.010558570300264879,0.2432421858571963,0.004204703747652457,0.9
PANAS_NA,0.21765403924191715,0.02728166615962875,0.2046816505819184,0.031276528982214745,0.1007769094090651,0.14247903729007508,0.013664231187559273,0.025777882218615798,0.19030823446109288,0.027981280656684253,0.9,0.2612540507870918,0.005089347517069841,0.2146532032074347,0.01738713592974468,0.14684556463594672,0.0260735215367231,0.018626894601928345,0.011976641020740036,0.25381059271352047,0.004288004219232088,0.8
STICSA,0.13904154027118074,0.02715316526209897,0.11100124056014393,0.03297214134250494,-0.1843028883587118,0.11620469419639663,-0.016206668971706306,0.011443030718289091,0.111234203081324,0.0237324456709738,0.0,0.0776895673852673,0.015696749915557875,0.08319275082085413,0.015422325531571237,-0.3575540521592681,0.09512964552072843,-0.011246616616266114,0.0008268400220772506,0.06255759331315441,0.016226881719761586,0.0
PHQ,0.1242544030723877,0.026920387544381613,0.09130071451130953,0.032792937742433304,-0.1357994884849276,0.11109931371246455,-0.010604016681903295,0.00886678035008341,0.10462519221825033,0.02260150604442423,0.0,0.08378335613668944,0.020683169464137088,0.049689950779910494,0.025225050110877858,-0.32514953574934935,0.1416584281209808,-0.010508696183696343,0.0010989677281744127,0.07286970828431066,0.019386772888714578,0.0
CEI,0.20011373407053754,0.034682805418717655,0.1734941117383005,0.03550325588830815,0.11219824660201713,0.048887330728343226,0.013203433150594279,0.012519390407007135,0.165036095849136,0.04525187378468177,0.9,0.21142413048207304,0.023388279858550753,0.18642657543419353,0.027026726873122693,0.11846341959988309,0.06313041862241009,0.014934613952790065,0.014203452950444324,0.15671841327548303,0.01544483064268388,0.9
BIG5_open,0.2608156955956254,0.01729170488172297,0.2532778239787241,0.013164477629496107,0.17672682920057237,0.028015717588872623,0.03036130217271841,0.012088518181584622,0.2376598030939637,0.023600289945960362,1.0,0.2132440279479379,0.04362112001357854,0.17136653992724557,0.04002685687128035,0.09720956185070129,0.1154896408833001,0.01567351161723607,0.015008776351423907,0.18784031574259125,0.04657971504236624,0.7
AxDep,0.09922324054946755,0.03141388266577342,0.08843640841916704,0.033391858611534146,-0.4835316158865698,0.18967723431753733,-0.015769615466900123,0.005359112954691598,0.07571794728532674,0.027744738922569873,0.0,0.07021863543804516,0.027902777243356696,0.042941334527541425,0.029790288308695543,-0.5664908650234076,0.1316533914267168,-0.014882187702188233,0.0008438477073435736,0.05235332142570618,0.018696849930549188,0.0
posMood,0.11298154815125268,0.03266253608864808,0.11955414709203671,0.028136032063170984,-0.3621039819880552,0.19158183903096712,-0.011901259303412914,0.005111993210543667,0.09543328007748926,0.03519796955324865,0.1,0.11192385392763035,0.03422106484925256,0.11857842800778103,0.03331900848608309,-0.32952896291345535,0.09823302773445117,-0.0263298309736963,0.02787982736429611,0.08886367703037173,0.021301462826496875,0.0
negMood,0.09999320672049117,0.0469366039566923,0.17348282474672208,0.035821308051854496,-0.4062627819216161,0.17162533694105828,-0.014855192464184342,0.0010997635631349292,0.08796961681033577,0.03931662709691792,0.0,0.06241223261744462,0.02102528847614515,0.0719483964084317,0.04704636246738106,-0.5808807569977035,0.11203332534985493,-0.015343957037008017,0.0006718959773856452,0.054165199208991134,0.01847737079204725,0.0
Exp,0.16030578075363713,0.03149847756849244,0.12070129870129868,0.0458233784112995,-0.16030662217363983,0.18040054519392837,-0.012949805970539362,0.014233578415182925,0.12909651341354386,0.02370954407129391,0.1,0.13430045100333218,0.02427946323722128,0.10166748768472907,0.02940242952202456,-0.29962346678613955,0.08542320660953336,-0.022199724346572892,0.017402676532941058,0.10195569735247689,0.016424421874485125,0.0
