scale,group,n,r_idrnn,p_idrnn,r_vanilla,p_vanilla,r_iv,z_steiger,p_steiger,r_idrnn_loo,p_idrnn_loo,r_vanilla_loo,p_vanilla_loo,r_iv_loo,z_steiger_loo,p_steiger_loo,r2_idrnn_loo,r2_vanilla_loo,chance_r
PANAS_PA,personality,236,0.19525624338794734,0.028798300802902178,0.045004952561136694,0.9251300458063343,0.34475252701467646,2.0318253299999163,0.04217134193293849,0.10457746248812981,0.10906360865143223,-0.5882829269748211,2.2935074671048272e-23,0.2081387308925019,9.007920085854504,2.1000130230993557e-19,0.009626748568486443,-0.01313401799524061,0.11298653657320641
PANAS_NA,personality,236,0.14014308708049417,0.20253873310504172,0.045636949066157693,0.9222314039988407,0.13630839917947635,1.1093323587073332,0.2672868306254351,-0.1500430197597036,0.02111987069733401,-0.5766429900099661,2.5812842138973055e-22,0.23956944623282853,5.956590373643313,2.5755471444351335e-09,-0.01164171020045246,-0.013096002845463195,0.11298653657320641
STICSA,personality,236,0.1740528848459113,0.06719938290659386,0.10773337391318527,0.4378072376155948,0.6919700400643156,1.3102870535727924,0.19009874548376005,0.06362311811927339,0.3304570450584068,-0.2223512228799782,0.0005798635921642607,0.6459513385350526,5.221729451904047,1.7725981543446822e-07,0.00028194367339851034,-0.00997534285254087,0.11298653657320641
PHQ,personality,236,0.1263822990378246,0.2905202470538246,0.0565847161389088,0.8624255768232629,0.1714610846282227,0.8362140173497787,0.40303451404407253,-0.16626987870574517,0.010510712288846966,-0.4884708436987955,1.4818244656595393e-15,0.25433154340214076,4.408306496503713,1.0418204237169343e-05,-0.00854867047846053,-0.012741420787141022,0.11298653657320641
CEI,personality,236,0.14654520889336256,0.1683583892317676,0.035965849936292635,0.9598512083163977,0.01865941851016062,1.2179261053108728,0.22325205485194077,-0.2160654680619017,0.0008341985052839732,-0.638288152585408,2.0956474384710407e-28,0.20225651619502374,6.084005595843109,1.1721651044842493e-09,-0.040885334772999604,-0.012852761616334085,0.11298653657320641
BIG5_open,personality,236,0.20658134637672013,0.017413146796442867,0.14083151357581328,0.1986561552233267,0.18749229422925334,0.8080854163498558,0.41904141233933845,0.11565131631978509,0.0761971444531995,-0.13563669950986965,0.037318787569216014,0.11449789972215405,2.8974887943651293,0.003761631758815218,0.012764548362394823,-0.007908846965495542,0.11298653657320641
AxDep,composite,175,0.060504112395795194,0.889770614594184,0.10315148375796455,0.6074435405460934,-0.19824275037451033,-0.36538101936164924,0.7148270076447866,-0.6484067099341955,2.98994570888018e-22,-0.4487729325184544,4.70477834342332e-10,0.1279877235176706,-2.677160416047443,0.007424907625493813,-0.015962307182499025,-0.014773966703356178,0.13130643285972254
posMood,composite,175,0.16549503601209264,0.190028992437834,0.04146721208382506,0.9609378591026366,0.6110356334283016,1.8665031046099423,0.06197101010808141,-0.18715861009417945,0.013135015045542792,-0.7542649072362281,1.9613207832015704e-33,0.4843956960915332,9.134808140663717,6.552285433762982e-20,-0.04016831118580533,-0.01615282578460575,0.13130643285972254
negMood,composite,175,0.091359374176315,0.6967860531768073,0.16786643317989916,0.17911153624564424,-0.04392045738871782,-0.7076720988728009,0.47914890788625775,-0.42630542696391,4.048528682956756e-09,-0.27921064150818276,0.00018268243204646323,0.07075914987854111,-1.5769466646996932,0.1148077978667124,-0.013977838922302421,-0.027570181329115373,0.13130643285972254
Exp,composite,175,0.19684327091233367,0.0793482389418859,0.08436706224840157,0.7470010488336084,0.4024042110366054,1.3749425790974408,0.16914924729382375,0.05929316273239995,0.4357207337678655,-0.4691205254216489,5.82408004306681e-11,0.3150013943982019,6.170517534043861,6.806682621114136e-10,-0.0007353595917949374,-0.014640669705095144,0.13130643285972254
WM_composite,wm,175,0.20820050996224632,0.05504664635775866,0.1810590493058597,0.12625831170040755,0.5038891041294625,0.3682320037826995,0.7127002487157224,0.09215418630230805,0.2251559764359262,-0.110594328274493,0.14511248704905333,0.45621963513353914,2.5638627306127857,0.01035144747245805,0.006712424059409305,-0.034293523305089835,0.13130643285972254
WM_OS,wm,175,0.1164552718732968,0.5045708725897604,0.16196931229353098,0.20707475574363535,0.5060981851569242,-0.6114959406600567,0.5408713049182691,-0.3085560605121376,3.261613883333152e-05,-0.18922077555290884,0.0121445725853662,0.42800499045786206,-1.5345692473524728,0.12488967145049824,-0.01220720464899494,-0.039877179666500284,0.13130643285972254
WM_SS,wm,175,0.17062129252767227,0.16697873035490596,0.15119576635496174,0.26516187265637936,0.6914959530513024,0.33119844151564387,0.7404945973458632,-0.18279266695327193,0.01546825350529798,-0.256074068514259,0.0006251125554920967,0.5668048476512549,1.070359778258385,0.28445739653934954,-0.04343778302887458,-0.014866735643640272,0.13130643285972254
WM_WMU,wm,175,0.2557958992018235,0.008865521569636357,0.169143747657959,0.17341279185078423,0.23354314094684267,0.9536364674223117,0.34026768971011256,0.1331085297446209,0.07907748463478022,-0.26384941167527765,0.0004185298115924773,0.09582660938412382,3.9174583711286175,8.948749317752979e-05,0.01622116471983137,-0.020290475716488565,0.13130643285972254
