target,n,z0_pearson_r,z0_pearson_p,z0_spearman_rho,z0_spearman_p,z1_pearson_r,z1_pearson_p,z1_spearman_rho,z1_spearman_p,z2_pearson_r,z2_pearson_p,z2_spearman_rho,z2_spearman_p,multiple_R,loo_R2,loo_pred_r,best_dim_pearson,best_abs_pearson,best_dim_spearman,best_abs_spearman
PANAS_PA,236,-0.1283162848882405,0.04896313808984612,-0.1244206035456654,0.05630597088084142,0.15810449846095323,0.015046305891004497,0.15261772890510752,0.01898280795944758,0.02752045887206034,0.6740382608118618,0.08025771350323987,0.21930490800966074,0.19525624338794734,0.009626748568486443,0.10457746248812981,1,0.15810449846095323,1,0.15261772890510752
PANAS_NA,236,-0.09331295406065473,0.15300156600528492,-0.09718269040217736,0.13660655854548084,0.09532622460596404,0.1442954275426316,0.0942345207800762,0.14896832458221987,0.06040928777742901,0.3555166167213852,0.10452821514789915,0.10923138709972831,0.14014308708049417,-0.01164171020045246,-0.1500430197597036,1,0.09532622460596404,2,0.10452821514789915
STICSA,236,0.07491283762321004,0.25165701248869327,0.06534219423687618,0.3175309047300497,-0.1643772108970264,0.011437854222079921,-0.1586898818873074,0.014671821554120312,0.021816494006629925,0.7388236665700394,0.03677099323508901,0.5740631833707843,0.1740528848459113,0.00028194367339851034,0.06362311811927339,1,0.1643772108970264,1,0.1586898818873074
PHQ,236,0.027955210904378205,0.6691904046577124,0.024546189892736808,0.7075562774166504,-0.11403287850383839,0.08042733542516448,-0.12715783653511953,0.05105815974446277,-0.04280402289371015,0.512869286843898,0.012766470755662934,0.8453233738821173,0.1263822990378246,-0.00854867047846053,-0.16626987870574517,1,0.11403287850383839,1,0.12715783653511953
CEI,236,0.07972748142580122,0.2223750200817921,0.059853262276142793,0.35997002521129584,0.1115076926104544,0.08740413104099909,0.07903098909393218,0.22645408867797806,-0.004020700239431364,0.9510092269474727,-0.008767091525098419,0.8934262307833316,0.14654520889336256,-0.040885334772999604,-0.2160654680619017,1,0.1115076926104544,1,0.07903098909393218
BIG5_open,236,-0.013188807779686482,0.8402737727190059,-0.06645365029892056,0.30935132574968044,0.1021878348320338,0.11744105707054893,0.07056190943521388,0.28032776876436105,0.16817060151084387,0.009647107432383686,0.15659622684088742,0.016049974220118505,0.20658134637672013,0.012764548362394823,0.11565131631978509,2,0.16817060151084387,2,0.15659622684088742
AxDep,175,-0.0014763039810805135,0.984530212833471,-0.00693909538737125,0.9273822623055548,-0.05945992273363729,0.4344286703559461,-0.0603448275862069,0.4276092049936644,-0.006050410033004501,0.9366615530874606,0.06564935064935065,0.388045576085154,0.060504112395795194,-0.015962307182499025,-0.6484067099341955,1,0.05945992273363729,2,0.06564935064935065
posMood,175,-0.0039049095194620934,0.9590967519216791,0.020008289072804848,0.7926937518248424,0.16504220269188835,0.02906182593720142,0.15344840157593423,0.0426207587764384,-0.0005928037513398654,0.9937878473786952,0.03194830417524943,0.6746938754759222,0.16549503601209264,-0.04016831118580533,-0.18715861009417945,1,0.16504220269188835,1,0.15344840157593423
negMood,175,-0.07782042472668489,0.30600387667960477,-0.06459127530025577,0.3957555260155664,-0.04192901971295663,0.5816774362442442,-0.05059415547959872,0.5060969902103614,0.027207956196799405,0.7207817376997202,0.18593334707719128,0.013756445657869877,0.091359374176315,-0.013977838922302421,-0.42630542696391,0,0.07782042472668489,2,0.18593334707719128
Exp,175,0.11970857480085821,0.11458253336047952,0.13212494402149574,0.08133844009157767,0.15166235164190825,0.04512031146827427,0.1524025974025974,0.044069865552295945,0.0066436702854748095,0.9304659470117342,-0.03132557098074339,0.680684229479761,0.19684327091233367,-0.0007353595917949374,0.05929316273239995,1,0.15166235164190825,1,0.1524025974025974
WM_composite,175,0.02666472655654187,0.7261318948305019,0.012129422301836095,0.873422179270199,0.044530476545567514,0.5584457969660211,0.026742051052395882,0.7253695257382216,-0.20554335684436673,0.006356603380036206,-0.20918271383788625,0.005466100489498634,0.20820050996224632,0.006712424059409305,0.09215418630230805,2,0.20554335684436673,2,0.20918271383788625
WM_OS,175,0.04546576418147919,0.550204105884668,0.05814378534695568,0.44468570145211306,0.07817532691001529,0.30379661211842424,0.07508177064587532,0.32339016087073424,-0.08060314035280408,0.28897892588889595,-0.037313052683085046,0.623965018499004,0.1164552718732968,-0.01220720464899494,-0.3085560605121376,2,0.08060314035280408,1,0.07508177064587532
WM_SS,175,-0.05715288510581043,0.4524975913817887,-0.03645788433713827,0.6319418655772358,0.07672813867085423,0.31286317040242934,0.0713707533080669,0.34794759881743753,-0.14421188553839415,0.056905329470181794,-0.1758496185071132,0.019924324340593946,0.17062129252767227,-0.04343778302887458,-0.18279266695327193,2,0.14421188553839415,2,0.1758496185071132
WM_WMU,175,0.07743130629649446,0.3084360265377237,0.043704723970630396,0.5657713586898884,-0.041338552519133945,0.5870121460739449,-0.013978928082526014,0.8543213313898725,-0.24040589980200955,0.0013524523547110332,-0.26411832625095927,0.0004126722001243519,0.2557958992018235,0.01622116471983137,0.1331085297446209,2,0.24040589980200955,2,0.26411832625095927
