target,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_frac_pos,idrnn_best_pearson_mean,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_frac_pos,vanilla_best_pearson_mean
PANAS_PA,-0.007855037041022205,0.014850562913965103,0.5,0.12538144913482918,-0.012538459610250774,0.00894157907494356,0.0,0.09171518805083717
PANAS_NA,-0.013679909952569968,0.012403643931264552,0.1,0.1077365083434219,-0.012058520606493772,0.0016803844815427849,0.0,0.08067323296469915
STICSA,-0.005503771638968325,0.007442671048538704,0.2,0.12370152164310477,-0.014852371255481245,0.014060383870631257,0.0,0.10221744963436177
PHQ,-0.011332838384079613,0.0010549899084085158,0.0,0.0783503486696736,-0.011769086645948001,0.001789264548821395,0.0,0.0669614881247744
CEI,-0.011203371610228196,0.003652185854746932,0.0,0.08266500614900116,-0.01203808097971033,0.0008844631211915868,0.0,0.04968402505894787
BIG5_open,0.01387457216755369,0.00984364220292499,0.9,0.17358839533295614,-0.009736523101517047,0.005206285656554529,0.0,0.1206673452888477
AxDep,-0.015494193872272887,0.0016996225583535514,0.0,0.06336567958538955,-0.015390355309896209,0.0009416075695597636,0.0,0.06602097991150949
posMood,-0.02471024661791994,0.014673043735798181,0.0,0.11980690211421186,-0.01524993904330465,0.00086869603766173,0.0,0.055733293849042145
negMood,-0.01773140151755228,0.00931796996408589,0.0,0.066839391779937,-0.02235646946565466,0.0066711333363729175,0.0,0.13330062841830861
Exp,-0.017137956419237342,0.019095151554058706,0.3,0.14268484797062583,-0.01358536444298406,0.0013299220933239554,0.0,0.07460682347958796
WM_composite,0.00686999564323606,0.010666294155031538,0.8,0.1883122213360406,-0.014155353409830096,0.01599135435966493,0.2,0.14355891986701613
WM_OS,-0.01796580191871968,0.007917866990159119,0.0,0.08891856679506693,-0.029079103649769112,0.016344149497617286,0.1,0.12417476194434056
WM_SS,0.0003883002811130076,0.013965833900215658,0.7,0.16802007827796028,-0.022765208261251012,0.016454837581334876,0.0,0.10697093461346038
WM_WMU,0.01601818743721346,0.010996537891009309,1.0,0.21940964023209092,-0.018591293437057732,0.0237088959662611,0.2,0.1479733147190742
