scale,group,n,r_idrnn,p_idrnn,r_vanilla,p_vanilla,r_iv,z_steiger,p_steiger,r_idrnn_loo,p_idrnn_loo,r_vanilla_loo,p_vanilla_loo,r_iv_loo,z_steiger_loo,p_steiger_loo,r2_idrnn_loo,r2_vanilla_loo,chance_r
PANAS_PA,personality,236,0.15981715467027496,0.11085818206053895,0.045004952561136694,0.9251300458063343,0.3183621545935537,1.5182223854118653,0.12895834610510923,-0.13591553015295738,0.03692611624853391,-0.5882829269748211,2.2935074671048272e-23,0.3357616069837611,6.727691358961628,1.723760637657235e-11,-0.03650494900167689,-0.01313401799524061,0.11298653657320641
PANAS_NA,personality,236,0.118345064176915,0.35053569246666916,0.045636949066157693,0.9222314039988407,0.16287591631216056,0.8656030013564017,0.386707909126352,-0.133871724061387,0.039887151093326835,-0.5766429900099661,2.5812842138973055e-22,0.2033265130482695,6.026050022164808,1.6801520175723938e-09,-0.007943411513162912,-0.013096002845463195,0.11298653657320641
STICSA,personality,236,0.15621334319298147,0.12475531964002064,0.10773337391318527,0.4378072376155948,0.654060138061192,0.9027113871316016,0.3666790913240253,-0.17219299290684165,0.00802384651851588,-0.2223512228799782,0.0005798635921642607,0.6243647712781374,0.9083455393383295,0.36369568951760933,-0.040545832026918305,-0.00997534285254087,0.11298653657320641
PHQ,personality,236,0.10499144959580607,0.4615165412614206,0.0565847161389088,0.8624255768232629,0.13053138353652594,0.5654009099423732,0.571801105792092,-0.26474717284858085,3.800754302652496e-05,-0.4884708436987955,1.4818244656595393e-15,0.2348361463049443,3.105655806265277,0.0018985756928971845,-0.01027046526708375,-0.012741420787141022,0.11298653657320641
CEI,personality,236,0.16199419113898422,0.10305096774418496,0.035965849936292635,0.9598512083163977,-0.10824257973865004,1.3083562875765862,0.19075249170300212,0.025646886664768873,0.6950822309961578,-0.638288152585408,2.0956474384710407e-28,-0.12196910163629786,7.705510207269839,1.3032155892430046e-14,-0.004950567476322165,-0.012852761616334085,0.11298653657320641
BIG5_open,personality,236,0.2293512794215775,0.005683050253408332,0.14083151357581328,0.1986561552233267,0.17320336046448379,1.0819921511533244,0.27925601555907176,0.142171136457999,0.028993003560317095,-0.13563669950986965,0.037318787569216014,0.09196770736395524,3.1641040565584984,0.0015556116670798219,0.019806444044824234,-0.007908846965495542,0.11298653657320641
AxDep,composite,175,0.052398749469362176,0.9251024296075034,0.10315148375796455,0.6074435405460934,-0.17502007284170565,-0.43886467231430976,0.6607595960780637,-0.7575070415102988,7.2635723971683526e-34,-0.4487729325184544,4.70477834342332e-10,0.21588784195522778,-4.821460626931569,1.4251085222695472e-06,-0.01635283611049987,-0.014773966703356178,0.13130643285972254
posMood,composite,175,0.14326750798506344,0.3134796188892432,0.04146721208382506,0.9609378591026366,0.5407599604051841,1.4084276628343146,0.15900447275753404,-0.32871469249772367,8.938536490171391e-06,-0.7542649072362281,1.9613207832015704e-33,0.4050450056019394,6.851186907779087,7.32397477423434e-12,-0.017482562888893494,-0.01615282578460575,0.13130643285972254
negMood,composite,175,0.11232940532776005,0.5363511080727268,0.16786643317989916,0.17911153624564424,0.014189977144996391,-0.5295933626323,0.5963938972646302,-0.33585965402098444,5.523371995783712e-06,-0.27921064150818276,0.00018268243204646323,0.0966460101035336,-0.5986632003676896,0.549397501673498,-0.01268153814282802,-0.027570181329115373,0.13130643285972254
Exp,composite,175,0.2241335249291082,0.03150690110647518,0.08436706224840157,0.7470010488336084,0.33679698143914993,1.62709407118708,0.10371712003506411,0.09580272463335467,0.20724706822858682,-0.4691205254216489,5.82408004306681e-11,0.21556796882624796,6.153828124201493,7.563465211476121e-10,0.007917174302840557,-0.014640669705095144,0.13130643285972254
WM_composite,wm,175,0.2184389043838179,0.038694907937853344,0.1810590493058597,0.12625831170040755,0.4375823079733998,0.4772741367565884,0.6331669253131624,0.11375618676622616,0.13388960109737602,-0.110594328274493,0.14511248704905333,0.36492755498284324,2.625657938455274,0.008648167720857775,0.011884237557442279,-0.034293523305089835,0.13130643285972254
WM_OS,wm,175,0.08400625385115658,0.74951337222778,0.16196931229353098,0.20707475574363535,0.3443536990074062,-0.9072639540014882,0.36426723099560754,-0.43846165836917755,1.288273751275056e-09,-0.18922077555290884,0.0121445725853662,0.2979027328641495,-2.989489549514888,0.002794440066417025,-0.013955908541000372,-0.039877179666500284,0.13130643285972254
WM_SS,wm,175,0.19976621354711885,0.07240442629918611,0.15119576635496174,0.26516187265637936,0.638817760692768,0.7678949952379162,0.4425495710053695,0.07451812478319199,0.32704613142660033,-0.256074068514259,0.0006251125554920967,0.5096669184288526,4.422664884895084,9.749089552716121e-06,0.0027167132298245855,-0.014866735643640272,0.13130643285972254
WM_WMU,wm,175,0.2610804793953965,0.007024950060062773,0.169143747657959,0.17341279185078423,0.23810644677289938,1.015637651822827,0.309801968166745,0.1774891258485926,0.018782385972220258,-0.26384941167527765,0.0004185298115924773,0.0769775707391466,4.306716833560196,1.6569550047376194e-05,0.03150059575989739,-0.020290475716488565,0.13130643285972254
