target,n,z0_pearson_r,z0_pearson_p,z0_spearman_rho,z0_spearman_p,z1_pearson_r,z1_pearson_p,z1_spearman_rho,z1_spearman_p,z2_pearson_r,z2_pearson_p,z2_spearman_rho,z2_spearman_p,multiple_R,loo_R2,loo_pred_r,best_dim_pearson,best_abs_pearson,best_dim_spearman,best_abs_spearman
PANAS_PA,236,-0.14514852601268957,0.025760975390143447,-0.132477251328333,0.042020309563423126,0.0831571255500972,0.20305107223058574,0.10149393902664516,0.11996542274450804,0.00993737098719059,0.8793021084287989,0.03165702143936199,0.6284827289151508,0.15981715467027496,-0.03650494900167689,-0.13591553015295738,0,0.14514852601268957,0,0.132477251328333
PANAS_NA,236,-0.11581828695138034,0.0757711815150235,-0.10489096839134379,0.10800028314585565,0.032534665055296945,0.6189881378306987,0.06269691826750161,0.3375596647231801,0.048764742177201024,0.4559064791781663,0.06451753750569673,0.32369003678104324,0.118345064176915,-0.007943411513162912,-0.133871724061387,0,0.11581828695138034,0,0.10489096839134379
STICSA,236,0.12379457262574982,0.05756688864014686,0.09317007647059079,0.15363419115247157,-0.08370582624106279,0.20007583737867043,-0.09837787368719754,0.13182528308457614,0.03684565490265823,0.5732853610445294,0.050742007353180386,0.43782303118960564,0.15621334319298147,-0.040545832026918305,-0.17219299290684165,0,0.12379457262574982,1,0.09837787368719754
PHQ,236,0.09650614138419049,0.13937138042465466,0.059633284187666086,0.36174147578682314,-0.004376962775883465,0.9466744631012981,-0.04851094199816406,0.4582575084766096,0.012571338688143436,0.8476585846928999,0.04713443035220464,0.47112556177582976,0.10499144959580607,-0.01027046526708375,-0.26474717284858085,0,0.09650614138419049,0,0.059633284187666086
CEI,236,-0.04148294764568211,0.5259747496534136,0.00794783550290019,0.9033341390158895,-0.09947562941884462,0.1275482570686018,-0.04822998169319639,0.4608679913514264,-0.09487928072795733,0.14619483395688224,-0.06120816810403289,0.3491788437105,0.16199419113898422,-0.004950567476322165,0.025646886664768873,1,0.09947562941884462,2,0.06120816810403289
BIG5_open,236,-0.2009943280968818,0.0019152582618847166,-0.1963037378360031,0.002452093193399219,-0.07285822762799936,0.2649323833222178,-0.03490023737277896,0.5937127955911607,0.08827324327403374,0.17652928291253658,0.14501819701493104,0.025895681313987055,0.2293512794215775,0.019806444044824234,0.142171136457999,0,0.2009943280968818,0,0.1963037378360031
AxDep,175,0.04034042823771449,0.5960806323839642,-0.010167935512763099,0.8937594980496802,-0.0030291233184040396,0.9682649695548158,-0.034048365427675774,0.6546444722723201,0.02246622991118599,0.7679116295585838,0.07114643976712942,0.34946871135578983,0.052398749469362176,-0.01635283611049987,-0.7575070415102988,0,0.04034042823771449,2,0.07114643976712942
posMood,175,-0.10933006102100824,0.1497947152760077,-0.11061061547206003,0.1450529007732664,0.006201134525154571,0.9350871139808675,-0.020690351655807262,0.7857948656172786,-0.06284764885548368,0.4086592834208349,-0.0392169185655379,0.6063633308992294,0.14326750798506344,-0.017482562888893494,-0.32871469249772367,0,0.10933006102100824,0,0.11061061547206003
negMood,175,-0.013103253872225853,0.8633550500299397,-0.09117824951169724,0.23012681726683112,0.03862306874074207,0.6118299918915379,-0.023064743395633133,0.7619115215866303,0.10425112452221712,0.1697605679456577,0.22013884495357486,0.003419295891393665,0.11232940532776005,-0.01268153814282802,-0.33585965402098444,2,0.10425112452221712,2,0.22013884495357486
Exp,175,-0.07868128906041684,0.300668025075248,-0.023564711150918047,0.756910172726361,-0.12214442500536726,0.1073379574636771,-0.10392969099865652,0.17108769149761055,-0.1427548653465212,0.059483914412994845,-0.1414420062695925,0.061888954618531555,0.2241335249291082,0.007917174302840557,0.09580272463335467,2,0.1427548653465212,2,0.1414420062695925
WM_composite,175,0.12789234331203186,0.09166768036728452,0.10740035826242723,0.15716040425203834,0.11549202424671717,0.12801802010487137,0.125564263322884,0.0977796010442856,-0.16013569847381923,0.03426872635362095,-0.17184505150022392,0.022969126463586162,0.2184389043838179,0.011884237557442279,0.11375618676622616,2,0.16013569847381923,2,0.17184505150022392
WM_OS,175,0.03465365918991906,0.6489104514336358,-0.021422985570416237,0.7784030084445628,0.02009592750076381,0.7918063982371817,0.006542771239796838,0.9315193835047111,-0.08011786394291288,0.29190142639808303,-0.06010527323404055,0.4294491894975191,0.08400625385115658,-0.013955908541000372,-0.43846165836917755,2,0.08011786394291288,2,0.06010527323404055
WM_SS,175,0.04135848677459041,0.5868316796876553,0.06707717799689734,0.37778633435484454,0.17295021068273705,0.022091234987638583,0.1818326345339424,0.016027319034049817,-0.09854342187702411,0.19448501690183856,-0.13811429755197116,0.06834396082335077,0.19976621354711885,0.0027167132298245855,0.07451812478319199,1,0.17295021068273705,1,0.1818326345339424
WM_WMU,175,0.2094830591429476,0.005397852652577673,0.16824762404300653,0.02603786145315859,0.06519705684835747,0.39133017158690486,0.09232922447266802,0.22427253812318998,-0.18691195735745267,0.01325809654353262,-0.2089393487769467,0.005521965822851203,0.2610804793953965,0.03150059575989739,0.1774891258485926,0,0.2094830591429476,2,0.2089393487769467
