target,idrnn_r2,vanilla_r2,idrnn_bf,vanilla_bf,idrnn_perm_p,vanilla_perm_p,idrnn_sd,vanilla_sd
PANAS_PA,0.007823405245256205,0.02448017840533363,0.4285872498546277,3.1509796198582034,0.0755924407559244,0.006199380061993801,0.0137508839494305,0.0166686399134491
PANAS_NA,0.020090496908337252,0.026312935331076533,1.7221868798539943,3.8558662939376953,0.0156984301569843,0.005599440055994401,0.0146511739147602,0.0169615478200076
STICSA,-0.003024722722235401,-0.012469418977732313,0.09225238675663727,248034361344.0,0.44985501449855014,1.0,0.0126769022334938,0.0111942609454844
PHQ,-0.011401133734791815,-0.011454410220240387,0.029536730656608334,0.0099334716796875,0.9657034296570343,1.0,0.0127099434176191,0.0102620056676996
CEI,0.004381784334558091,0.016568042856006666,0.26991625304656786,1.1198830485381905,0.12238776122387761,0.025697430256974303,0.013146153657487,0.01386480859475
BIG5_open,0.03234710843424439,0.006236669261984321,7.70504887728568,0.29946582054894966,0.0032996700329967,0.1110888911108889,0.015653601254417,0.0138842285088892
AxDep,-0.014408226608131448,-0.015515997789214416,1100.0,377856.0,1.0,1.0,0.0151991190400306,0.014535007883949
posMood,-0.013550095602665438,-0.013679447953774529,0.013780631823465228,0.011955618858337402,1.0,1.0,0.0165113340725387,0.0162247947656906
negMood,-0.01498705766484501,-0.01937426561403612,0.01456451416015625,0.012468591332435608,1.0,1.0,0.0147810289992011,0.0139824745282111
Exp,-0.01821119130858597,-0.013970682472738711,0.023115700746810575,0.032470703125,0.9993000699930007,1.0,0.0174843892157523,0.0159353975598339
WM_composite,0.11569070016373546,0.06996291533139312,7846.700344827824,173.2898552055071,9.999000099990002e-05,0.00029997000299970003,0.0202817653780941,0.0236759295315437
WM_OS,-0.012401447238432901,-0.016465776340007385,0.017303383191347166,0.029536242089684528,1.0,0.9854014598540146,0.0167195910845648,0.0158497856162934
WM_SS,0.11064528008420547,0.07402893268448937,4794.85333841143,400.61253414244396,9.999000099990002e-05,0.00019998000199980003,0.017944645235144,0.0344818866592832
WM_WMU,0.11780447143535251,0.07258299078378545,9666.86019630534,240.84585691185254,9.999000099990002e-05,0.00019998000199980003,0.0237819256339674,0.0157308691290324
