target,n,idrnn_r2,vanilla_r2,idrnn_sd,vanilla_sd,idrnn_bf,vanilla_bf,idrnn_perm_p,vanilla_perm_p
PANAS_PA,236,0.007658981880367,-0.006652623228925902,0.014882813896089,0.01712731852898476,0.4130791278682989,0.07796880562022777,0.0746925307469253,0.5149485051494851
PANAS_NA,236,0.0200454885080727,-0.005449971460432357,0.0155859513316293,0.015789214816044325,1.6850030798998117,0.0672608357428982,0.0145985401459854,0.5986401359864013
STICSA,236,0.0002823535139113,-0.013265955302885102,0.0137272876029601,0.012052428409671042,0.1372985000597472,0.012646493269130588,0.277972202779722,1.0
PHQ,236,-0.0113317601276043,-0.009941409987003658,0.0129779108683188,0.0120536865048527,0.0329513250272476,0.01404925990209449,0.938906109389061,1.0
CEI,236,0.0051212925279372,0.02029521503215992,0.0129490981193991,0.014919429984086787,0.2901845693356337,1.7399490563297313,0.1127887211278872,0.0163983601639836
BIG5_open,236,0.033502681748773,0.01050948901517268,0.0149319403940426,0.015534411836331238,8.541043061370857,0.5236882545695324,0.0028997100289971,0.060993900609939006
AxDep,175,-0.0144082266081315,-0.01551599778921453,0.0151991190400306,0.014832227365000917,1100.0,377856.0,1.0,1.0
posMood,175,-0.0135500956026652,-0.013679447953774293,0.0165113340725387,0.015093838737073699,0.0137806318234652,0.011955618858337402,1.0,1.0
negMood,175,-0.0149870576648452,-0.019374265614036323,0.0147810289992011,0.014659917640841525,0.0145645141601562,0.012468591332435608,1.0,1.0
Exp,175,-0.0182111913085858,-0.013970682472738583,0.0174843892157523,0.016001042645242037,0.0231157007468105,0.032470703125,0.9993000699930008,1.0
WM_composite,175,0.1188219482928216,0.06980631574392293,0.0196893012696557,0.018098791207824403,9448.156553152709,100.25209297673206,9.999000099990002e-05,9.999000099990002e-05
WM_OS,175,-0.0123564876893329,-0.0259730488158898,0.016594328530081,0.01591434044819395,0.0177014636690273,0.02717410567473788,1.0,0.9931006899310069
WM_SS,175,0.1165059688332149,0.07736117459629799,0.0184115595197599,0.015830511035352577,7569.683464774258,208.32094114046217,9.999000099990002e-05,9.999000099990002e-05
WM_WMU,175,0.1174283129657592,0.05932593697583788,0.0227491398372876,0.018263788313155546,8275.94454451004,42.14868497735845,9.999000099990002e-05,0.0004999500049995
