target,n_idrnn,n_vanilla,idrnn_mean,idrnn_sd,idrnn_sd_seedmean,idrnn_ci_lo,idrnn_ci_hi,vanilla_mean,vanilla_sd,vanilla_sd_seedmean,vanilla_ci_lo,vanilla_ci_hi
PANAS_PA,238,238,-0.0003484256223231119,0.013750883949430538,0.013721488190076101,-0.027644251667183505,0.02516995217784967,0.01730084214722634,0.016668639913449114,0.016658439783035005,-0.01373844043871346,0.048660776972897536
PANAS_NA,238,238,0.006445669832255139,0.01465117391476026,0.014634981335003149,-0.023399695211553974,0.033312364489689265,0.016176231258271487,0.016961547820007694,0.01696078336179484,-0.016206136249391007,0.048996879928533264
STICSA,238,238,-0.015303294069699377,0.012676902233493851,0.01269459643430505,-0.04002268563492199,0.00761473532176878,-0.025314351961195698,0.011194260945484482,0.011207619166858784,-0.04657825095078973,-0.002575059059330477
PHQ,238,238,-0.01839014834123968,0.012709943417619142,0.012726205394199367,-0.04239665020676153,0.004621272653184658,-0.023359113260972814,0.010262005667699685,0.01029910289679944,-0.04475614337305998,-0.0032215377608322254
CEI,238,238,-0.007736105340263335,0.013146153657487003,0.01318272583991541,-0.03410396404546939,0.01707338478455254,0.008283556180498076,0.01386480859475004,0.013896279475364735,-0.01808949595904864,0.03592817556787108
BIG5_open,238,238,0.01980576666440173,0.01565360125441705,0.01566899557370757,-0.009536257602479057,0.050673272998304306,-0.0004816657527466037,0.01388422850888926,0.0139019977874085,-0.02666098055853791,0.02641666591869361
AxDep,175,175,-0.03224395055565968,0.015199119040030675,0.015260386531863046,-0.0631048002635599,-0.005393886492946035,-0.03371324862349485,0.01453500788394908,0.014593513631364043,-0.06146328562467371,-0.0046386950367712145
posMood,175,175,-0.03333286020542398,0.016511334072538797,0.016524684977858743,-0.06680968089269429,-0.0029401594896794245,-0.031538230525420805,0.016224794765690692,0.01624683891137269,-0.062445728017967904,-0.0011430822544256285
negMood,175,175,-0.03124501627039148,0.014781028999201145,0.014832937390939991,-0.06155194526716443,-0.0017625705115252572,-0.029611897542172676,0.013982474528211134,0.014042353323794709,-0.055274111522278166,-0.0010372793660576405
Exp,175,175,-0.027625279376408116,0.017484389215752343,0.017492430936433174,-0.06251314784550932,0.006899068822030187,-0.03128469943678519,0.015935397559833902,0.015995328513620153,-0.06204610886334525,0.0019113383557213311
WM_composite,177,177,0.09604891975009991,0.020281765378094195,0.020303460716765937,0.05790856046340233,0.13566072042722693,0.04907924689831925,0.023675929531543755,0.03176385465803042,-0.0059428732418829785,0.08918974307948516
WM_OS,177,177,-0.032171894976495065,0.016719591084564826,0.016775124811816405,-0.06471649868317521,-0.00030362593622187213,-0.026171889420413368,0.01584978561629346,0.01822810084266246,-0.058407974399708136,0.0047065969548633095
WM_SS,177,177,0.09513548211063687,0.017944645235144073,0.017938871183673596,0.05860189292575362,0.12923393705546735,0.0388921185000751,0.034481886659283235,0.042758200953448094,-0.03941376468672754,0.08782073079240169
WM_WMU,177,177,0.09987069503157013,0.023781925633967402,0.023783280702416705,0.05345824328466637,0.14781800200579986,0.056818298102470216,0.015730869129032488,0.019375489951709922,0.02694927539671354,0.08915393837969195
