trait,arch,n,r2,pearson_r,bf10_greater
PANAS_PA,idrnn,236,0.007658981880367066,0.09314010308296973,0.4130791278682989
PANAS_PA,vanilla_s1x,236,-0.012948335578859105,-0.3719263325083379,0.01118165347725153
PANAS_NA,idrnn,236,0.02004548850807275,0.14163558479902502,1.6850030798998117
PANAS_NA,vanilla_s1x,236,-0.010996936053750295,-0.37362922335620885,0.011133499443531036
STICSA,idrnn,236,0.00028235351391137087,0.03745821790591841,0.1372985000597472
STICSA,vanilla_s1x,236,-0.011508007514424046,-0.36028112378854965,0.011522208340466022
PHQ,idrnn,236,-0.011331760127604396,-0.1013843045129688,0.032951325027247624
PHQ,vanilla_s1x,236,-0.011902314477658216,-0.40899629479906335,0.010226786136627197
CEI,idrnn,236,0.005121292527937249,0.07770047596237178,0.29018456933563375
CEI,vanilla_s1x,236,-0.009106301357718838,-0.056935154627667225,0.04583876658705027
BIG5_open,idrnn,236,0.03350268174877302,0.1832159080341128,8.541043061370857
BIG5_open,vanilla_s1x,236,0.0016204590799592244,0.04503113781025598,0.155430783371245
AxDep,idrnn,175,-0.014408226608131569,-0.6063875816683434,1100.0
AxDep,vanilla_s1x,175,-0.015651565404312784,-0.7217931991507168,23364622090240.0
posMood,idrnn,175,-0.01355009560266529,-0.40696086342208265,0.013780631823465228
posMood,vanilla_s1x,175,-0.016597709245221193,-0.499337077990213,0.011812210083007812
negMood,idrnn,175,-0.014987057664845205,-0.516444599693416,0.01456451416015625
negMood,vanilla_s1x,175,-0.022202917824123425,-0.30023908284898587,0.01822902174887986
Exp,idrnn,175,-0.01821119130858584,-0.2288034089294941,0.023115700746810575
Exp,vanilla_s1x,175,-0.014529119983301975,-0.3245845530919646,0.01698791552507828
WM_composite,idrnn,175,0.11882194829282167,0.34470648378517865,9448.156553152709
WM_composite,vanilla_s1x,175,0.026159338660379672,0.16571079636727318,2.017224597163618
WM_OS,idrnn,175,-0.012356487689332951,-0.3101873980451047,0.017701463669027362
WM_OS,vanilla_s1x,175,-0.02191921755877968,-0.32352331624369757,0.017038618267179118
WM_SS,idrnn,175,0.11650596883321496,0.3413731865377974,7569.683464774258
WM_SS,vanilla_s1x,175,0.02380804283612059,0.15676268320821865,1.557710714774089
WM_WMU,idrnn,175,0.11742831296575929,0.34271947965383365,8275.94454451004
WM_WMU,vanilla_s1x,175,0.031087742309202526,0.18316309821700819,3.4751996221989683
