seed,dimA,dimB,dimC,agreeAB,agreeAC,cosB,cosC,r_wm,r_open,r_cei,r_sw,r_sw2a,r_swre,r_swho,pr_open_wm,pr_cei_wm,pr_open_sw,pr_sw_open,pr_sw2a,pr_swre,pr_swho,ws_pc,ws_var,ws_r_wm,ws_r_open,ws_r_cei,ws_r_swho
200,2,2,0,1,0,0.9676338634337188,0.8969697026058077,-0.23182427264308877,0.06609988397274584,0.08743749104339918,0.8526055499994404,0.7064176791131723,0.6098483810296944,0.7435235253867064,0.05974079172388889,0.07216106790626481,0.0546372194942004,-0.023559819045761352,0.7022505732533171,0.5919047717753759,0.7425438521470908,0,0.5278685688972473,-0.3348877300606318,0.19611838406783075,0.11334775514972924,0.8339211189068972
300,2,1,2,0,1,0.9969593404091274,0.7922680806841713,-0.39263771981375856,0.21692185675283113,0.1562016352464364,0.25938947169447507,-0.1108626128663885,0.060207117993568995,0.6998235112456963,0.2312834397135408,0.1852545068231265,0.21297940153270192,-0.01293465865710338,-0.04741814646364735,0.06973393827817928,0.7055198377279974,2,0.2259020060300827,-0.2735572993572691,0.10645908464017687,0.20489024971099604,0.7867902608582422
400,2,2,0,1,0,0.9873390520448234,0.8025502124979166,-0.18573750006962728,0.009315411725480768,0.09470901179019187,0.9267845379994218,0.8101597408880169,0.720806195742088,0.7027586436317216,0.02264490808115037,0.07942317832336977,-0.08403022263602578,0.09435976838267604,0.8043087350418585,0.7135631541408849,0.703940911259997,0,0.39015814661979675,-0.2997078284341164,0.20141527579207333,0.13322658186935754,0.6679046793354448
500,2,2,0,1,0,0.9842247021667262,0.7970321106630387,-0.2123197171975014,0.032620463295145924,0.13600612519275035,0.9256032868580656,0.8237803479037231,0.6570328154007942,0.7529178371709027,0.022622207770137737,0.11492670264334823,-0.02161552011788079,0.03668880201877477,0.8187676959773769,0.6543459600264342,0.7583965177137182,1,0.34821245074272156,-0.30181950851758715,0.1153374621691662,0.15725668433485418,0.8728130265041771
600,0,1,0,0,1,0.9223301407056903,0.9572287081867855,-0.27516388099062034,0.13036949542309317,0.16151738212807007,0.7034353524757235,0.45696635291611565,0.4338793722713551,0.8184424980106396,0.12090554183672785,0.10667579123937146,0.13994022872232334,-0.06759502993831992,0.46009623501899455,0.4295102461645798,0.8206971275583207,0,0.4115501046180725,-0.3577101672960864,0.22698055336724007,0.1320686293438256,0.7458457089748657
999,0,2,2,0,0,0.9999999992149207,0.778769824768352,-0.252082587209087,0.10089987421548029,0.1454019396042533,0.1616822439126978,-0.15591212867660598,-0.023157077495596742,0.5912475901637335,0.10284306330161136,0.08434795842946718,0.09511676321385369,0.028273421811228917,-0.1386684687976398,-0.0018261866648382596,0.5929147403827028,2,0.2864934206008911,-0.2157839559872466,0.04405018607430899,0.1183101552242915,0.7348570371457503
2021,0,2,1,0,0,0.9537822723651496,0.9781990702962287,-0.3418170142666988,0.21815547151479892,0.14872241656977445,0.392695568827334,0.03051816185103344,0.23468497851677914,0.7000833761842971,0.23051120322579616,0.17760909418548135,0.21860446694914268,-0.04634554845439063,0.09707727179419362,0.2304264948506888,0.7017349374740294,1,0.324118435382843,-0.12905003936213172,-0.0037270714667507108,0.06823591604869268,0.5863350641560485
2022,2,1,2,0,1,0.979229206955432,0.9689764093415503,-0.3325448276748926,0.15421313272572224,0.16502530512531902,0.43733911971433903,0.10449250047229929,0.20249395123289296,0.7680199748274164,0.17203059844102636,0.16034075670502007,0.150194750893762,-0.02630237660409699,0.12868870401896873,0.21695506801032632,0.7777373258168321,1,0.27725309133529663,-0.273414777848205,0.12138625630822074,0.11701771393144861,0.7326931859226307
2023,2,1,2,0,1,0.8255405580313272,0.9898740439910529,-0.3179594593212748,0.10511015046232362,0.14090909401538476,0.6620504655028693,0.3570478709123492,0.4325832426908242,0.8211891846877076,0.15065852992534437,0.11026730410763752,0.101413942796503,-0.03423481868404475,0.3926491285576706,0.431379875433378,0.8250401748909141,0,0.4726564586162567,-0.36026252870733344,0.21042336776944973,0.12192923743647198,0.710110602488195
2024,1,0,2,0,0,0.9686506279886093,0.9477718704029333,-0.3329683746777546,0.21906652471241542,0.05818252557980202,0.30574948879207636,-0.02020321632184627,0.1462152428072162,0.6296965545850297,0.2264651901398012,0.08972167821603907,0.21614186924272816,-0.02465779816781487,0.029750444331302455,0.13544471538596292,0.6359266571051944,0,0.45892828702926636,-0.3501435320910575,0.2742849466504978,0.07882476118205649,0.6206938436197428
