scale,group,n,r_idrnn,p_idrnn,r_vanilla,p_vanilla,r_iv,z_steiger,p_steiger,r_idrnn_loo,p_idrnn_loo,r_vanilla_loo,p_vanilla_loo,r_iv_loo,z_steiger_loo,p_steiger_loo,r2_idrnn_loo,r2_vanilla_loo,chance_r
PANAS_PA,personality,238,0.14333439296843462,0.18173082859973982,0.25256463732778894,0.0014652054301027976,0.20271008641754906,-1.3701465798066013,0.1706411499748678,-0.30359925112973796,1.82261348592649e-06,0.16213615686352062,0.012254112646975323,0.033819978761906684,-5.20416714441198,1.9486855892374277e-07,-0.03605827450906718,0.02594458527301957,0.1125087900926024
PANAS_NA,personality,238,0.13849430232576684,0.20861565023520656,0.26205273316175404,0.0008212153158531331,0.2256098422255923,-1.5734275852537078,0.11561984378296557,-0.15109640162042118,0.01969361181715261,0.15423756052179036,0.017256340182561846,0.13480085165771646,-3.577816081823969,0.0003464771038894563,-0.00983058884694299,0.022389970329995124,0.1125087900926024
STICSA,personality,238,0.10717041168225759,0.43871357090112173,0.0787333401917089,0.6919581662067158,0.5715701245005969,0.47543387881179056,0.634477751633301,-0.24534156106305,0.00013150592073377652,-0.33876954642906,8.412998147273136e-08,0.5855732114985032,1.6683431331994383,0.09524763005406033,-0.009913315680591728,-0.011211412895519635,0.1125087900926024
PHQ,personality,238,0.059763097385095394,0.8401076251861644,0.04435468222462284,0.9272014231884168,-0.23776326116963434,0.1510973943750777,0.8798988878909195,-0.47597117513280823,7.353953284452247e-15,-0.5830713922875634,4.509907577118019e-23,0.14641098525092605,1.6338376032118151,0.10229295429954186,-0.012240257541205501,-0.012542510923023942,0.1125087900926024
CEI,personality,238,0.12324645517821128,0.3093650090608628,0.17677592454570787,0.05899035329020296,0.17891468737065172,-0.653561794069826,0.513394165619957,-0.12855878657717645,0.04758063891303436,0.07477068612498589,0.25053861944257766,0.13382416783463244,-2.3807763882961623,0.01727619548223495,-0.00739431890743103,0.0031062335058515966,0.1125087900926024
BIG5_open,personality,238,0.21685277667349828,0.010233291630836867,0.060580279270245896,0.8345419460694208,0.16282896432827113,1.8860344390671893,0.059290313937457,0.1301358703543126,0.04489837911574142,-0.46358226110851813,4.3960124390128465e-14,0.053546609090407815,6.873725471681672,6.254652348750108e-12,0.01650789861941293,-0.012508653834455208,0.1125087900926024
AxDep,composite,175,0.06116189158914402,0.8865817902631117,0.10272292946955461,0.6107514447427214,-0.2823770293672796,-0.34425148832595553,0.7306571637811208,-0.6022034396293365,1.1941088140736825e-18,-0.6180947384663885,8.04103931574152e-20,0.3267313059332863,0.2548848188788045,0.798812061887317,-0.015435893360587372,-0.014382815902185486,0.13130643285972254
posMood,composite,175,0.11024289417042797,0.552505159805968,0.10338531932961018,0.6056375500298444,0.6066661873057257,0.10269148347685786,0.9182078331099305,-0.40945903285089646,1.8394440240816827e-08,-0.42527448617429636,4.452190103956535e-09,0.6876919971583789,0.29538676283932647,0.7676984441410566,-0.013237156327236432,-0.013632714833782922,0.13130643285972254
negMood,composite,175,0.10808161458177985,0.5692632903763369,0.14129114246267346,0.3262134198306491,0.3331350925653167,-0.38331452347575706,0.7014865719675645,-0.3157661835192577,2.074853642325412e-05,-0.2972092243855223,6.492214658929112e-05,0.3095636990545342,-0.22286713036184014,0.8236389191685864,-0.012616736993185329,-0.025437830730253852,0.13130643285972254
Exp,composite,175,0.1837256000372936,0.11714400600383706,0.1106975216176093,0.5489824856034364,0.33729688843364786,0.8491163703538805,0.39581654209406214,0.03202408252093961,0.6739663124267303,-0.40567646576953503,2.5549095387991376e-08,0.2588582257856246,4.880944673122291,1.0557886198561907e-06,-0.006512485729158968,-0.013240357913530287,0.13130643285972254
WM_composite,wm,177,0.26952851502564684,0.00445643977802784,0.1553062119473686,0.23707583336469898,0.38570697989637576,1.4095947165626552,0.15865938798378432,0.1687795681175151,0.02472373541000989,-0.17248130667004352,0.02169368027171492,0.1360619654235622,3.449624564885423,0.0005613666732447786,0.028263953685355836,-0.032244877800170935,0.13055824196677338
WM_OS,wm,177,0.10881681669348771,0.5586848579081449,0.11432303190628375,0.5158762445244588,0.37865233904774986,-0.06606922335007302,0.9473227135047407,-0.307791274842361,3.0794596915178795e-05,-0.308530213685919,2.9404275340820366e-05,0.4334660352358956,0.009827786480623527,0.9921586871264865,-0.012503627381671878,-0.011690480656048274,0.13055824196677338
WM_SS,wm,177,0.24302428507112808,0.01434688676442794,0.138654194512704,0.3382931879455737,0.3751992837736256,1.2695245083999722,0.20425405505260497,0.15130957926280272,0.044392029135993605,-0.09462921535577115,0.21025911965467334,0.0727769539408559,2.3998669741215286,0.01640103090450519,0.022809395076624828,-0.02007308287079046,0.13055824196677338
WM_WMU,wm,177,0.29184545852635013,0.0014734645015585899,0.16068149714187385,0.20889937605282186,0.3236003795077469,1.5507358627289065,0.12096499640569744,0.20488764435467866,0.0062262372186950715,-0.18126154221368687,0.015757811706403845,0.05567728887552159,3.7387641146792867,0.00018492714254905954,0.03716682201100774,-0.02809069296874478,0.13055824196677338
