target,n,z0_pearson_r,z0_pearson_p,z0_spearman_rho,z0_spearman_p,z1_pearson_r,z1_pearson_p,z1_spearman_rho,z1_spearman_p,z2_pearson_r,z2_pearson_p,z2_spearman_rho,z2_spearman_p,multiple_R,loo_R2,loo_pred_r,best_dim_pearson,best_abs_pearson,best_dim_spearman,best_abs_spearman
PANAS_PA,238,-0.07138459039579285,0.2726983370382124,-0.07761523998616293,0.23291407762140426,-0.017828768118568095,0.7843747393827963,0.0027993608124176365,0.9657340977210567,-0.10921506653406003,0.09275329980868455,-0.0989874421653147,0.12780718205882133,0.1433343872518248,-0.03605827450906718,-0.303599251129738,2,0.10921506653406003,2,0.0989874421653147
PANAS_NA,238,-0.00755486275038698,0.9077010615051403,-0.024884781725061245,0.7025046219344327,0.003604035135676886,0.9558932493481533,0.02350343223112213,0.718298201417167,-0.13544856076324618,0.036777073796180976,-0.1287550759845322,0.047239669035073824,0.13849430699910295,-0.00983058884694299,-0.15109640162042107,2,0.13544856076324618,2,0.1287550759845322
STICSA,238,0.08545908791327286,0.18889255427571122,0.10692444047480698,0.0998489861303569,0.050112145303212535,0.44159302048688454,0.04556357273068167,0.48418761486921524,0.016427329412455657,0.8009550752067954,0.0057698468757535456,0.9294435513037753,0.10717043093186572,-0.009913315680591728,-0.24534156106305005,0,0.08545908791327286,0,0.10692444047480698
PHQ,238,0.0402275804170989,0.5368498738196458,0.08014335536862748,0.217999692459652,0.040178959787897144,0.5373425502801209,0.03774991328343781,0.5622398452138797,0.001681632834758759,0.9794117567890669,-0.023217203153996228,0.7215860613151304,0.05976308749737114,-0.012240257541205501,-0.475971175132808,0,0.0402275804170989,0,0.08014335536862748
CEI,238,0.023556545466354228,0.7176886671603174,0.00485301895002799,0.9406324359635229,-0.09023498690294746,0.16526473546310183,-0.045843880049308616,0.48150028700715575,0.09169995752003092,0.15847978125386813,0.07767485799408708,0.23255428639842518,0.1232464192124822,-0.00739431890743103,-0.1285587865771762,2,0.09169995752003092,2,0.07767485799408708
BIG5_open,238,0.0884297138869037,0.17392173221231014,0.08061448650703011,0.2152974421021987,-0.07256050553034994,0.2648564932014434,-0.013465801014775576,0.8362785913677381,-0.18138301365596135,0.005003189845989116,-0.19628506736737455,0.0023513573424348948,0.21685274667899915,0.01650789861941293,0.13013587035431293,2,0.18138301365596135,2,0.19628506736737455
AxDep,175,0.05791097313861197,0.446514221056273,0.06518360949395433,0.391428082823266,0.0018941359695852427,0.9801526618293824,-0.007628750559785042,0.9201878397381413,-0.02841081898179831,0.7089834226072709,-0.05360728482271599,0.48107013430603396,0.06116188838303482,-0.015435893360587372,-0.6022034396293368,0,0.05791097313861197,0,0.06518360949395433
posMood,175,-0.03220267745940332,0.6722527830334551,-0.0046299617703316675,0.9515105047908654,-0.09249708107767925,0.2234276557740041,-0.06813122021639728,0.37032017009943463,-0.030739410211948877,0.6863410876387199,-0.03141409540227989,0.6798314434454406,0.11024289907598428,-0.013237156327236432,-0.4094590328508964,1,0.09249708107767925,1,0.06813122021639728
negMood,175,0.04382468158608607,0.5647043350746759,0.08514478781731358,0.26257596173178893,0.04592661651642801,0.5461650620288286,0.033260735866072734,0.6621360824085862,-0.09716176777093076,0.20084535275674917,-0.18056701400634464,0.016791197971485174,0.10808161516888883,-0.012616736993185329,-0.31576618351925767,2,0.09716176777093076,2,0.18056701400634464
Exp,175,0.03469902562085718,0.6484815142203317,0.021347962382445143,0.7791590491227545,-0.15682976533303497,0.038205976043098035,-0.14777877295118674,0.050979935491163725,0.10244473160483118,0.17731882737082216,0.12400365203968133,0.10205432253584143,0.18372560131968657,-0.006512485729158968,0.03202408252093957,1,0.15682976533303497,1,0.14777877295118674
WM_composite,177,-0.1906645082093652,0.011021475948938016,-0.17793364034556192,0.017816009203849337,0.027141524095651244,0.7198927418268211,0.05583568497775316,0.460418216195173,0.21300492481260358,0.0044201528365736134,0.22431237356977152,0.0026866964463550832,0.26952851958263163,0.028263953685355836,0.1687795681175149,2,0.21300492481260358,2,0.22431237356977152
WM_OS,177,-0.05874896272246468,0.43731366610843014,-0.040628646831695384,0.5913221804313328,-0.04687108195029013,0.5355859576694311,-0.05745661944079644,0.4474803156114464,0.09037462206762324,0.23158462442886657,0.09123163902940461,0.22717093621899756,0.10881684107293739,-0.012503627381671878,-0.30779127484236135,2,0.09037462206762324,2,0.09123163902940461
WM_SS,177,-0.21243003297653892,0.004530545152036345,-0.2148649979310173,0.004079342478489288,0.05308240377107891,0.4828620903847139,0.045993652690489197,0.5432590395812271,0.13538908686063592,0.07237458267819476,0.17180271389519816,0.022223862002926916,0.24302430614517995,0.022809395076624828,0.1513095792628026,0,0.21243003297653892,0,0.2148649979310173
WM_WMU,177,-0.15841457724823232,0.03520843768070785,-0.16158804858972728,0.03165830687736766,0.044487126228036515,0.5565588359029884,0.05927044947467615,0.43324884533790753,0.2573946059522132,0.000542969326778861,0.25564913061815103,0.0005939932433324881,0.29184545852635013,0.03716682201100774,0.20488764435467852,2,0.2573946059522132,2,0.25564913061815103
