target,idrnn_loo_r2_mean,idrnn_loo_r2_sd,idrnn_frac_pos,idrnn_best_pearson_mean,vanilla_loo_r2_mean,vanilla_loo_r2_sd,vanilla_frac_pos,vanilla_best_pearson_mean
PANAS_PA,-0.021770205258725396,0.015275313350388448,0.0,0.11341001797656039,0.024713675209365994,0.01323134456501359,0.9,0.25471359963196527
PANAS_NA,-0.009314089931705839,0.0022137907200619807,0.0,0.11174407776487087,0.021260782250954725,0.02201311454535783,0.7,0.26263518583666645
STICSA,-0.014291213504750756,0.012214891311075364,0.0,0.10522121758536296,-0.012431884611257594,0.0006990304817075167,0.0,0.048314622668944436
PHQ,-0.011468175130731284,0.0012932029063422203,0.0,0.05922042908693499,-0.013103468219823288,0.0005036494574814332,0.0,0.028690416765337717
CEI,-0.010747692150179077,0.003462408757017959,0.0,0.08928750531235602,-0.027294989900027978,0.022749971628057756,0.2,0.147842790601222
BIG5_open,0.022372627511032937,0.005096793499699351,1.0,0.19242022930593708,-0.009736671816735787,0.0021374239607031436,0.0,0.08767518656636304
AxDep,-0.016448330366597385,0.003359814915232693,0.0,0.05556357407561607,-0.015129844499694123,0.0008866010203145215,0.0,0.057372020255897105
posMood,-0.013433754373773633,0.0006868561520605124,0.0,0.08702469398182053,-0.020410217700297762,0.0186970148091384,0.0,0.08594172431329081
negMood,-0.013656314523026115,0.0007841327398305251,0.0,0.07411146407770802,-0.023829862697812156,0.0074474692347741185,0.0,0.10003408282373716
Exp,-0.017052808802812024,0.0187983033650367,0.3,0.12971156118120716,-0.014817789748601129,0.001138441470744297,0.0,0.058611752584125675
WM_composite,0.014283113559721016,0.014886588821322303,0.8,0.217808936981291,-0.017357204839631026,0.023432729177541953,0.2,0.1547635089836966
WM_OS,-0.013494464412049689,0.0008520945368182854,0.0,0.08263541174959227,-0.012710024993001468,0.000998362847425504,0.0,0.08460720117228124
WM_SS,0.00536946381847585,0.017075457462900203,0.7,0.20173700147538418,-0.018493228618219136,0.011246119983327666,0.1,0.11570229933872081
WM_WMU,0.0179669368730352,0.017557234204645538,0.8,0.22734428978173066,-0.009214480862731623,0.026509959922244655,0.4,0.1669547048121325
