seed,idrnn,cp_rnn,vanilla,cp_minus_idrnn
200,0.5725435,0.5798246,0.5473357,0.0072811246
300,0.5681955,0.5731139,0.55359703,0.0049183965
400,0.56511235,0.56354445,0.5587587,-0.0015679002
401,0.56281716,0.56450725,0.54957193,0.0016900897
402,0.56900555,0.57235205,0.5489507,0.0033465028
403,0.56293505,0.5675295,0.5502982,0.004594445
404,0.56022376,0.5600477,0.5595684,-0.00017607212
500,0.56780213,0.5728058,0.54551363,0.0050036907
600,0.569505,0.57458776,0.5551693,0.005082786
999,0.56647545,0.5668175,0.5522684,0.00034207106
2021,0.5713905,0.573954,0.5512632,0.0025634766
2022,0.5671336,0.56707,0.5560158,-6.3598156e-05
2023,0.57084334,0.57209074,0.55158776,0.001247406
2024,0.55934477,0.5644472,0.5509002,0.0051024556
2025,0.57215613,0.57546824,0.552766,0.003312111
