rank,lmbd,z_dim,mean_best_rsa,std_best_rsa,mean_final_rsa,std_final_rsa,min_best_rsa,max_best_rsa,n_seeds
1,0.1,3,0.8999301242972502,0.031020391457637186,0.8815923278756812,0.049358187879206095,0.8689097328396129,0.9309505157548873,2
2,0.01,1,0.8983748428926877,0.021181556960474024,0.8436129667846564,0.010307956489279568,0.8771932859322137,0.9195563998531617,2
3,0.02,3,0.8956300177565032,0.01945286815624936,0.8833169917151875,0.02721712829364137,0.8761771496002538,0.9150828859127526,2
4,0.04,3,0.8951070362857969,0.022207600955304052,0.8762750089286324,0.041039628312468546,0.8728994353304929,0.917314637241101,2
5,0.03,3,0.8950578460986005,0.016740870918137196,0.8753806706378306,0.036418046378907,0.8783169751804633,0.9117987170167376,2
6,0.08,3,0.8947901506289995,0.027859615987738284,0.8740882487686206,0.048561517848117186,0.8669305346412612,0.9226497666167378,2
7,0.06,3,0.8935136319968464,0.026230289756031977,0.8711545415807653,0.048589380172113006,0.8672833422408144,0.9197439217528783,2
8,0.03,1,0.8932506611860341,0.0024021428549154678,0.8314218230818031,0.03415345417288318,0.8908485183311187,0.8956528040409496,2
9,0.04,1,0.8928310416922387,0.013990334573732388,0.854005229752504,0.015975608891898696,0.8788407071185064,0.9068213762659711,2
10,0.06,2,0.8913371870671181,0.009402821826286434,0.8617645814437913,0.03897542744961319,0.8819343652408316,0.9007400088934044,2
11,0.01,2,0.8903032805201176,0.009671824435825427,0.885096048418851,0.011237115858583835,0.8806314560842923,0.8999751049559431,2
12,0.02,1,0.8884492865948154,0.004057959490972984,0.849073046567605,0.012758395759645436,0.8843913271038424,0.8925072460857884,2
13,0.0,2,0.8878945736343407,0.0038277528647783776,0.6745528488448548,0.018455490024020027,0.8840668207695623,0.8917223264991191,2
14,0.0,3,0.8878945736343407,0.0038277528647783776,0.6745528488448548,0.018455490024020027,0.8840668207695623,0.8917223264991191,2
15,0.0,1,0.8878945736343407,0.0038277528647783776,0.6745528488448548,0.018455490024020027,0.8840668207695623,0.8917223264991191,2
16,0.02,2,0.8878644442565381,0.004666495956277772,0.8785320288935389,0.0010363602394695137,0.8831979483002603,0.8925309402128159,2
17,0.04,2,0.8872736931879328,0.0031071346362228636,0.8796642225739353,0.01071660525022039,0.8841665585517099,0.8903808278241556,2
18,0.06,1,0.8868039197382733,0.015029295973182533,0.862353801892005,0.02288440904529565,0.8717746237650909,0.9018332157114559,2
19,0.03,2,0.886461349947008,0.0021810916342503983,0.8853461780094345,0.0010659196966769091,0.8842802583127576,0.8886424415812584,2
20,0.01,3,0.8863304779214396,0.01724590213793581,0.8804835284034163,0.023009718205000362,0.8690845757835038,0.9035763800593755,2
21,0.2,3,0.885594856644164,0.03979157125167376,0.8676297005207688,0.056511590872314166,0.8458032853924903,0.9253864278958378,2
22,0.1,1,0.8837131946651003,0.0009101416780660232,0.8147746543904785,0.029079267583624446,0.8828030529870343,0.8846233363431664,2
23,0.08,2,0.8834237498135198,0.018129949469837536,0.8573187694815227,0.03276504215584619,0.8652938003436823,0.9015536992833574,2
24,0.08,1,0.8822996080500264,0.0019223870871112325,0.8113830778300063,0.03200703062253174,0.8803772209629152,0.8842219951371376,2
25,0.2,1,0.8797684940660488,0.003833581396139485,0.7618086990757122,0.08053104170086306,0.8759349126699093,0.8836020754621883,2
26,0.1,2,0.879347508845947,0.01667233717965294,0.8600270196816369,0.019659988321395427,0.862675171666294,0.8960198460255999,2
27,0.3,1,0.8745905233389285,0.014849045541557304,0.8610665052503228,0.024371534615303447,0.8597414777973712,0.8894395688804858,2
28,0.2,2,0.873210263055609,0.007035499710786541,0.8445544423471536,0.022830756067633573,0.8661747633448225,0.8802457627663955,2
29,0.3,2,0.8722018272548583,0.0028046215918241524,0.8382250498288601,0.0056559161276290015,0.8693972056630341,0.8750064488466824,2
30,0.3,3,0.8601949672655888,0.07158419733729393,0.8601949672655888,0.07158419733729393,0.7886107699282948,0.9317791646028827,2
